pair,Date,rv_kiem,n_o,j_bcl,j_tho,n_nhay_bcl,n_nhay_tho,ti_chuky
AUDUSD,2010-01-04,5.7676364265740436e-05,287,9.722577328856642e-07,7.1720429995731126e-06,1,3,1.2563276163723718
AUDUSD,2010-01-05,6.602636741619418e-05,287,9.758895434239992e-07,1.1540430230913529e-05,1,5,1.0074719273992356
AUDUSD,2010-01-06,5.3494473895560515e-05,287,5.067131775251292e-06,1.1139769312706917e-05,2,5,1.0221285815247443
AUDUSD,2010-01-07,8.55461797848266e-05,287,2.3736237374314714e-05,2.7570883186189488e-05,1,2,0.8635334904257654
AUDUSD,2010-01-08,8.035358749169114e-05,264,2.6424907748745156e-05,4.3686282055846955e-05,3,10,0.7866985721073075
AUDUSD,2010-01-11,4.256145044676024e-05,286,0.0,1.6652909320502027e-06,0,1,1.4073897261826516
AUDUSD,2010-01-12,9.069885880197263e-05,287,2.698179207855535e-05,2.698179207855535e-05,4,4,1.0315450070153893
AUDUSD,2010-01-13,6.994265497713972e-05,287,3.816355916745445e-06,1.8388034830243603e-05,1,8,0.9414465955824929
AUDUSD,2010-01-14,8.208994969337699e-05,287,4.220714954939635e-05,4.447233396464703e-05,3,4,0.7425831914515626
AUDUSD,2010-01-15,4.85357675404421e-05,263,6.2528282825834214e-06,7.940184198207162e-06,3,4,0.9911753987220344
AUDUSD,2010-01-18,3.15537901837467e-05,283,3.1408457772410846e-06,0.0,3,0,1.2413666634680316
AUDUSD,2010-01-19,6.50795922325497e-05,287,1.2256274131311929e-05,1.8333926884990674e-05,6,8,1.0939045796358766
AUDUSD,2010-01-20,8.059941668589959e-05,287,3.4342187951234912e-06,9.011357221122371e-06,1,2,0.9831596376826466
AUDUSD,2010-01-21,0.00011993063261847225,287,1.1667637786260513e-05,2.0649323822656266e-05,2,3,1.0652968332799857
AUDUSD,2010-01-22,0.00011755330062065998,263,1.485484016259011e-05,2.376650915729085e-05,2,3,0.8972721733245418
AUDUSD,2010-01-25,7.227713366086353e-05,287,9.37362952171402e-06,1.8906899986793354e-05,3,7,1.2116927286617232
AUDUSD,2010-01-26,0.00010985873725820615,287,0.0,4.047533281435695e-06,0,1,1.0486144015131649
AUDUSD,2010-01-27,0.00011897215629099142,287,2.1691585782259992e-05,2.9403360168235367e-05,4,5,1.1690862481531619
AUDUSD,2010-01-28,0.00010014551734345402,287,1.808998410342947e-06,4.475172469888168e-06,1,1,1.145602505860786
AUDUSD,2010-01-29,0.00010536419839948411,263,5.026124896699492e-06,1.055069492550623e-05,1,2,0.9865039174387276
AUDUSD,2010-02-01,7.853674208611422e-05,287,9.725653432478386e-06,2.2382318731561777e-05,2,7,1.1578395660843577
AUDUSD,2010-02-02,0.0001755303935531194,287,0.00010568153216108598,0.00010279216646478941,2,1,1.108689890528739
AUDUSD,2010-02-03,6.759615113812744e-05,287,1.5573639551872941e-06,0.0,1,0,1.0778830768030367
AUDUSD,2010-02-04,0.0001118378254317382,287,1.9239718907050423e-05,1.5738712920539793e-05,4,2,0.9789037270873493
AUDUSD,2010-02-05,0.00018230424449908167,263,4.595878295144815e-05,2.697989287518546e-05,4,1,1.0110128749512588
AUDUSD,2010-02-08,8.705555453587067e-05,287,8.394793510115278e-06,8.394793510115278e-06,1,1,1.5220947130309617
AUDUSD,2010-02-09,0.0001076863322484539,287,2.9614983674161035e-05,2.3661944413949892e-05,4,2,1.1840512540870998
AUDUSD,2010-02-10,7.503404468758694e-05,286,5.207815987447079e-06,5.207815987447079e-06,1,1,0.927688027158205
AUDUSD,2010-02-11,0.00013980632884065422,287,6.864098089335376e-05,7.277866107767296e-05,3,4,0.7969651227101618
AUDUSD,2010-02-12,0.00012591162846315628,263,4.51350423391934e-05,4.1635420034762685e-05,4,2,1.0488177128877743
AUDUSD,2010-02-15,3.1251655868393574e-05,282,4.380531250610337e-06,2.8472660887945127e-06,2,1,1.4044129459822692
AUDUSD,2010-02-16,5.449661298612474e-05,287,2.828145202040485e-06,9.542633915832191e-06,1,4,1.08242977143975
AUDUSD,2010-02-17,4.4688090094252835e-05,287,3.28525392905828e-06,3.86310052932692e-06,2,2,1.118807936938196
AUDUSD,2010-02-18,0.00012035579615348738,287,4.9670875284890523e-05,4.465409224928701e-05,11,7,1.6848498651117338
AUDUSD,2010-02-19,8.308627747718489e-05,263,1.5062948578407292e-05,8.648124901339382e-06,4,2,0.9686987126350556
AUDUSD,2010-02-22,4.686677620058197e-05,287,9.996669165368997e-07,5.3524421702111645e-06,1,2,1.2053801445005778
AUDUSD,2010-02-23,9.583841234388714e-05,287,2.369297742052584e-05,4.2070134801350314e-05,5,12,0.9553376680003951
AUDUSD,2010-02-24,8.566460431582442e-05,287,1.3879422036402364e-05,3.284341193000908e-05,2,8,0.8611343454355637
AUDUSD,2010-02-25,8.987506825621768e-05,287,2.141985010484234e-06,2.1920302732664417e-05,1,8,0.9912084192936256
AUDUSD,2010-02-26,7.083353510407018e-05,264,5.525806920130954e-06,2.421537592841985e-05,1,6,0.8833896333552289
AUDUSD,2010-03-01,7.199737451091942e-05,287,8.102212030806342e-06,2.083687185497781e-05,2,7,1.2413737180128122
AUDUSD,2010-03-02,6.875344729300234e-05,287,1.2261070912259263e-06,0.0,1,0,1.0190516444027564
AUDUSD,2010-03-03,4.71525193141826e-05,286,5.193499814272753e-06,3.975229413065817e-06,2,1,0.9633310570246114
AUDUSD,2010-03-04,6.083767647370733e-05,287,8.802048947513072e-06,1.5722594896762798e-05,3,4,0.8916547901095678
AUDUSD,2010-03-05,3.646367633579117e-05,263,4.338534564125548e-06,1.0481110500315078e-05,3,4,0.9362758192921318
AUDUSD,2010-03-08,2.8432464180601174e-05,287,0.0,1.7358675070193525e-06,0,1,1.3355219689008415
AUDUSD,2010-03-09,5.656941436878714e-05,287,3.580819986331848e-06,9.877564328279091e-06,3,4,1.1167880440069073
AUDUSD,2010-03-10,4.185990462876261e-05,286,7.584434579160066e-06,2.0161494264971224e-06,6,1,1.1435247961510113
AUDUSD,2010-03-11,4.969802695785881e-05,287,9.821385562277824e-06,1.4355378090687174e-05,3,4,0.8926830752436207
AUDUSD,2010-03-12,3.86411106608501e-05,263,4.03078616561223e-06,9.587100105495292e-06,2,4,0.8571407063902432
AUDUSD,2010-03-15,3.479869573270627e-05,287,0.0,2.3611531044558097e-06,0,1,1.2580800041229239
AUDUSD,2010-03-16,5.789423370975932e-05,286,2.708500211568984e-05,2.285350128801429e-05,10,5,1.1866737045614133
AUDUSD,2010-03-17,3.141019156409565e-05,286,1.983948982067067e-06,1.983948982067067e-06,1,1,0.8990609381289156
