regime,pair,hour,spread_med,spread_p95,spread_p99,n_ticks,n_obs
post2015,AUDUSD,0,0.905,1.205,1.905,2220.0,591
post2015,AUDUSD,1,0.905,1.205,1.805,2890.0,591
post2015,AUDUSD,2,0.905,1.205,1.805,2179.0,591
post2015,AUDUSD,3,0.905,1.205,1.795,1708.0,591
post2015,AUDUSD,4,0.905,1.205,1.795,1416.0,590
post2015,AUDUSD,5,0.905,1.205,1.795,1819.0,587
post2015,AUDUSD,6,0.905,1.205,1.795,2340.0,588
post2015,AUDUSD,7,0.905,1.105,1.705,2857.5,588
post2015,AUDUSD,8,0.905,1.195,1.605,2780.0,587
post2015,AUDUSD,9,0.905,1.105,1.605,2213.0,587
post2015,AUDUSD,10,0.905,1.105,1.605,2000.0,587
post2015,AUDUSD,11,0.905,1.195,1.605,2107.5,586
post2015,AUDUSD,12,0.905,1.205,1.705,3117.0,587
post2015,AUDUSD,13,0.905,1.205,1.705,4229.0,587
post2015,AUDUSD,14,0.905,1.205,1.668,4699.0,587
post2015,AUDUSD,15,0.905,1.195,1.705,3981.5,586
post2015,AUDUSD,16,0.905,1.205,1.685,2873.0,585
post2015,AUDUSD,17,0.905,1.205,1.705,2309.0,585
post2015,AUDUSD,18,0.905,1.205,1.795,2042.0,585
post2015,AUDUSD,19,0.995,1.205,2.305,1850.0,585
post2015,AUDUSD,20,0.995,1.405,6.499,1149.5,572
post2015,AUDUSD,21,1.705,3.15,8.005,795.5,512
post2015,AUDUSD,22,1.295,2.105,6.495,751.0,469
post2015,AUDUSD,23,0.995,1.405,2.405,1184.0,469
post2015,EURUSD,0,0.395,0.505,0.895,2196.0,591
post2015,EURUSD,1,0.395,0.505,0.805,2582.0,591
post2015,EURUSD,2,0.295,0.505,0.805,1975.0,591
post2015,EURUSD,3,0.305,0.505,0.805,1650.0,591
post2015,EURUSD,4,0.295,0.505,0.805,1463.5,590
post2015,EURUSD,5,0.295,0.505,0.805,1732.0,588
post2015,EURUSD,6,0.295,0.495,0.805,2984.5,588
post2015,EURUSD,7,0.295,0.405,0.705,4431.0,588
post2015,EURUSD,8,0.295,0.405,0.705,4672.0,587
post2015,EURUSD,9,0.295,0.405,0.705,3936.0,587
post2015,EURUSD,10,0.295,0.405,0.705,3470.0,587
post2015,EURUSD,11,0.295,0.405,0.705,3528.0,587
post2015,EURUSD,12,0.295,0.405,0.802,4930.0,587
post2015,EURUSD,13,0.295,0.405,0.705,6313.0,587
post2015,EURUSD,14,0.295,0.405,0.705,6824.0,587
post2015,EURUSD,15,0.295,0.405,0.705,5553.0,587
post2015,EURUSD,16,0.295,0.405,0.705,4059.0,587
post2015,EURUSD,17,0.295,0.405,0.705,3071.0,586
post2015,EURUSD,18,0.295,0.405,0.805,2674.0,587
post2015,EURUSD,19,0.295,0.405,1.172,2421.5,586
post2015,EURUSD,20,0.395,0.595,4.198,1775.5,574
post2015,EURUSD,21,0.805,1.905,5.005,1242.0,513
post2015,EURUSD,22,0.705,1.405,4.995,959.5,470
post2015,EURUSD,23,0.405,0.705,1.505,1138.5,470
post2015,GBPUSD,0,0.995,1.295,2.8,2458.0,591
post2015,GBPUSD,1,0.995,1.295,2.695,2904.0,591
post2015,GBPUSD,2,0.905,1.205,2.105,2249.0,591
post2015,GBPUSD,3,0.905,1.205,2.205,1980.0,591
post2015,GBPUSD,4,0.905,1.205,2.405,1822.0,590
post2015,GBPUSD,5,0.905,1.205,2.105,2190.5,588
post2015,GBPUSD,6,0.895,1.195,1.995,3260.5,588
