Date,pair,n_ticks
2010-01-01,AUDUSD,72622.3
2010-01-03,AUDUSD,1303.2
2010-01-04,AUDUSD,45216.8
2010-01-05,AUDUSD,52283.2
2010-01-06,AUDUSD,51910.0
2010-01-07,AUDUSD,44605.3
2010-01-08,AUDUSD,53134.6
2010-01-10,AUDUSD,2070.8
2010-01-11,AUDUSD,33849.3
2010-01-12,AUDUSD,58178.9
2010-01-13,AUDUSD,57296.5
2010-01-14,AUDUSD,39105.2
2010-01-15,AUDUSD,49974.6
2010-01-17,AUDUSD,1079.2
2010-01-18,AUDUSD,26495.5
2010-01-19,AUDUSD,52443.9
2010-01-20,AUDUSD,64618.9
2010-01-21,AUDUSD,58634.0
2010-01-22,AUDUSD,54235.7
2010-01-24,AUDUSD,1848.1
2010-01-25,AUDUSD,48644.4
2010-01-26,AUDUSD,70317.9
2010-01-27,AUDUSD,83411.8
2010-01-28,AUDUSD,70097.5
2010-01-29,AUDUSD,81464.9
2010-01-31,AUDUSD,2373.3
2010-02-01,AUDUSD,64414.4
2010-02-02,AUDUSD,74504.6
2010-02-03,AUDUSD,68281.4
2010-02-04,AUDUSD,70305.6
2010-02-05,AUDUSD,92131.5
2010-02-07,AUDUSD,1779.7
2010-02-08,AUDUSD,65933.9
2010-02-09,AUDUSD,75419.5
2010-02-10,AUDUSD,79461.9
2010-02-11,AUDUSD,71575.8
2010-02-12,AUDUSD,75444.8
2010-02-14,AUDUSD,696.0
2010-02-15,AUDUSD,29974.5
2010-02-16,AUDUSD,62261.3
2010-02-17,AUDUSD,65719.0
2010-02-18,AUDUSD,61809.1
2010-02-19,AUDUSD,65458.6
2010-02-21,AUDUSD,2215.7
2010-02-22,AUDUSD,48510.1
2010-02-23,AUDUSD,65052.9
2010-02-24,AUDUSD,46594.7
2010-02-25,AUDUSD,73628.2
2010-02-26,AUDUSD,74186.8
2010-02-28,AUDUSD,2327.8
2010-03-01,AUDUSD,69604.5
2010-03-02,AUDUSD,76749.2
2010-03-03,AUDUSD,69299.0
2010-03-04,AUDUSD,56865.4
2010-03-05,AUDUSD,45034.2
2010-03-07,AUDUSD,1878.1
2010-03-08,AUDUSD,46383.4
2010-03-09,AUDUSD,58275.6
2010-03-10,AUDUSD,58129.7
2010-03-11,AUDUSD,51927.9
2010-03-12,AUDUSD,50518.8
2010-03-14,AUDUSD,1200.5
2010-03-15,AUDUSD,48980.6
2010-03-16,AUDUSD,40052.8
2010-03-17,AUDUSD,57382.1
2010-03-18,AUDUSD,43404.7
2010-03-19,AUDUSD,65792.4
2010-03-21,AUDUSD,1494.1
2010-03-22,AUDUSD,61277.6
2010-03-23,AUDUSD,49888.6
2010-03-24,AUDUSD,68020.0
2010-03-25,AUDUSD,56264.3
2010-03-26,AUDUSD,56171.0
2010-03-28,AUDUSD,1630.6
2010-03-29,AUDUSD,51903.4
2010-03-30,AUDUSD,45024.2
2010-03-31,AUDUSD,60111.0
2010-04-01,AUDUSD,50742.0
2010-04-02,AUDUSD,13227.4
2010-04-04,AUDUSD,789.7
2010-04-05,AUDUSD,20348.6
2010-04-06,AUDUSD,57680.8
2010-04-07,AUDUSD,50538.5
2010-04-08,AUDUSD,51819.3
2010-04-09,AUDUSD,45327.9
2010-04-11,AUDUSD,2658.2
2010-04-12,AUDUSD,46985.7
2010-04-13,AUDUSD,48883.1
2010-04-14,AUDUSD,53347.1
2010-04-15,AUDUSD,48588.1
2010-04-16,AUDUSD,59448.9
2010-04-18,AUDUSD,1689.1
2010-04-19,AUDUSD,56788.5
2010-04-20,AUDUSD,46355.2
2010-04-21,AUDUSD,58258.3
2010-04-22,AUDUSD,64518.4
2010-04-23,AUDUSD,60367.8
2010-04-25,AUDUSD,1188.8
2010-04-26,AUDUSD,47113.2
2010-04-27,AUDUSD,69555.0
2010-04-28,AUDUSD,100297.6
2010-04-29,AUDUSD,65994.0
2010-04-30,AUDUSD,67490.3
2010-05-02,AUDUSD,1774.3
2010-05-03,AUDUSD,44086.1
2010-05-04,AUDUSD,85721.9
2010-05-05,AUDUSD,106418.9
2010-05-06,AUDUSD,142964.7
2010-05-07,AUDUSD,152688.7
2010-05-09,AUDUSD,4137.3
2010-05-10,AUDUSD,101026.8
2010-05-11,AUDUSD,100823.2
2010-05-12,AUDUSD,95381.2
2010-05-13,AUDUSD,98362.1
2010-05-14,AUDUSD,102274.6
2010-05-16,AUDUSD,1506.2
2010-05-17,AUDUSD,131710.5
2010-05-18,AUDUSD,128754.5
2010-05-19,AUDUSD,147650.9
2010-05-20,AUDUSD,173918.0
2010-05-21,AUDUSD,124230.6
2010-05-23,AUDUSD,3474.8
2010-05-24,AUDUSD,119625.9
2010-05-25,AUDUSD,148337.2
2010-05-26,AUDUSD,114756.9
2010-05-27,AUDUSD,108868.0
2010-05-28,AUDUSD,83012.6
2010-05-30,AUDUSD,2955.4
2010-05-31,AUDUSD,39402.1
2010-06-01,AUDUSD,121617.5
2010-06-02,AUDUSD,112174.3
2010-06-03,AUDUSD,86814.5
2010-06-04,AUDUSD,101680.6
2010-06-06,AUDUSD,4661.7
2010-06-07,AUDUSD,108366.0
2010-06-08,AUDUSD,128553.3
2010-06-09,AUDUSD,103348.9
2010-06-10,AUDUSD,91839.6
2010-06-11,AUDUSD,85493.5
2010-06-13,AUDUSD,1688.6
2010-06-14,AUDUSD,73210.6
2010-06-15,AUDUSD,85613.6
2010-06-16,AUDUSD,83224.5
2010-06-17,AUDUSD,74110.4
2010-06-18,AUDUSD,119100.7
2010-06-20,AUDUSD,3778.5
2010-06-21,AUDUSD,79870.7
2010-06-22,AUDUSD,89877.3
2010-06-23,AUDUSD,107104.4
2010-06-24,AUDUSD,78840.2
2010-06-25,AUDUSD,91137.6
2010-06-27,AUDUSD,1883.2
2010-06-28,AUDUSD,72609.4
2010-06-29,AUDUSD,95835.7
2010-06-30,AUDUSD,93678.0
2010-07-01,AUDUSD,103370.1
2010-07-02,AUDUSD,88137.7
2010-07-04,AUDUSD,2600.9
2010-07-05,AUDUSD,39084.6
2010-07-06,AUDUSD,84311.3
2010-07-07,AUDUSD,82795.0
2010-07-08,AUDUSD,69493.3
2010-07-09,AUDUSD,62939.7
2010-07-11,AUDUSD,1556.9
2010-07-12,AUDUSD,65757.5
2010-07-13,AUDUSD,84817.2
2010-07-14,AUDUSD,85748.2
2010-07-15,AUDUSD,93945.4
2010-07-16,AUDUSD,87375.3
2010-07-18,AUDUSD,2933.7
2010-07-19,AUDUSD,79747.4
2010-07-20,AUDUSD,94419.5
2010-07-21,AUDUSD,91396.0
2010-07-22,AUDUSD,87344.8
2010-07-23,AUDUSD,100826.4
2010-07-25,AUDUSD,2743.7
2010-07-26,AUDUSD,100297.5
2010-07-27,AUDUSD,91566.7
2010-07-28,AUDUSD,114532.1
2010-07-29,AUDUSD,87213.6
2010-07-30,AUDUSD,100627.3
2010-08-01,AUDUSD,1917.1
2010-08-02,AUDUSD,86262.5
2010-08-03,AUDUSD,78187.2
2010-08-04,AUDUSD,81937.0
2010-08-05,AUDUSD,56329.1
2010-08-06,AUDUSD,70829.7
2010-08-08,AUDUSD,1236.8
2010-08-09,AUDUSD,62414.4
2010-08-10,AUDUSD,85871.1
2010-08-11,AUDUSD,103528.5
2010-08-12,AUDUSD,86630.7
2010-08-13,AUDUSD,80835.8
2010-08-15,AUDUSD,1587.2
2010-08-16,AUDUSD,93304.1
2010-08-17,AUDUSD,75117.7
2010-08-18,AUDUSD,81400.0
2010-08-19,AUDUSD,74960.1
2010-08-20,AUDUSD,84052.7
2010-08-22,AUDUSD,2142.4
2010-08-23,AUDUSD,68864.3
2010-08-24,AUDUSD,92445.5
2010-08-25,AUDUSD,95542.6
2010-08-26,AUDUSD,72733.6
2010-08-27,AUDUSD,79165.1
2010-08-29,AUDUSD,2731.5
2010-08-30,AUDUSD,56662.6
2010-08-31,AUDUSD,90792.2
2010-09-01,AUDUSD,86781.9
2010-09-02,AUDUSD,59568.6
2010-09-03,AUDUSD,65414.2
2010-09-05,AUDUSD,1725.4
2010-09-06,AUDUSD,37850.0
2010-09-07,AUDUSD,83761.8
2010-09-08,AUDUSD,80822.2
2010-09-09,AUDUSD,64948.0
2010-09-10,AUDUSD,60386.4
2010-09-12,AUDUSD,2841.1
2010-09-13,AUDUSD,57257.0
2010-09-14,AUDUSD,75471.3
2010-09-15,AUDUSD,86195.5
2010-09-16,AUDUSD,62968.2
2010-09-17,AUDUSD,73305.9
2010-09-19,AUDUSD,976.1
2010-09-20,AUDUSD,58586.7
2010-09-21,AUDUSD,70279.2
2010-09-22,AUDUSD,88256.2
2010-09-23,AUDUSD,79792.9
2010-09-24,AUDUSD,79441.3
2010-09-26,AUDUSD,1873.3
2010-09-27,AUDUSD,76508.6
2010-09-28,AUDUSD,80917.0
2010-09-29,AUDUSD,92558.0
2010-09-30,AUDUSD,93836.3
2010-10-01,AUDUSD,82186.2
2010-10-03,AUDUSD,1791.3
2010-10-04,AUDUSD,98951.3
2010-10-05,AUDUSD,125686.3
2010-10-06,AUDUSD,118641.0
2010-10-07,AUDUSD,107413.2
2010-10-08,AUDUSD,124669.2
2010-10-10,AUDUSD,3050.9
2010-10-11,AUDUSD,86274.3
2010-10-12,AUDUSD,139118.6
2010-10-13,AUDUSD,110793.6
2010-10-14,AUDUSD,112518.0
2010-10-15,AUDUSD,135297.3
2010-10-17,AUDUSD,1975.0
2010-10-18,AUDUSD,116092.6
2010-10-19,AUDUSD,178006.9
2010-10-20,AUDUSD,158912.8
2010-10-21,AUDUSD,133448.1
2010-10-22,AUDUSD,101533.8
2010-10-24,AUDUSD,2457.0
2010-10-25,AUDUSD,108703.2
2010-10-26,AUDUSD,129567.7
2010-10-27,AUDUSD,143871.4
2010-10-28,AUDUSD,104080.1
2010-10-29,AUDUSD,123147.8
2010-11-01,AUDUSD,94739.4
2010-11-02,AUDUSD,105201.4
2010-11-03,AUDUSD,106071.6
2010-11-04,AUDUSD,104055.5
2010-11-05,AUDUSD,99513.0
2010-11-07,AUDUSD,22037.8
2010-11-08,AUDUSD,99983.5
2010-11-09,AUDUSD,99269.4
2010-11-10,AUDUSD,102542.4
2010-11-11,AUDUSD,96462.3
2010-11-12,AUDUSD,95006.7
2010-11-14,AUDUSD,10297.1
2010-11-15,AUDUSD,60174.8
2010-11-16,AUDUSD,58414.1
2010-11-17,AUDUSD,51691.4
2010-11-18,AUDUSD,51115.2
2010-11-19,AUDUSD,46201.5
2010-11-21,AUDUSD,8195.5
2010-11-22,AUDUSD,48643.2
2010-11-23,AUDUSD,61764.5
2010-11-24,AUDUSD,58466.8
2010-11-25,AUDUSD,38339.5
2010-11-26,AUDUSD,47908.9
2010-11-28,AUDUSD,9799.1
2010-11-29,AUDUSD,93858.3
2010-11-30,AUDUSD,164746.0
2010-12-01,AUDUSD,138050.6
2010-12-02,AUDUSD,123208.8
2010-12-03,AUDUSD,105727.3
2010-12-05,AUDUSD,15500.0
2010-12-06,AUDUSD,109439.1
2010-12-07,AUDUSD,119118.0
2010-12-08,AUDUSD,115572.0
2010-12-09,AUDUSD,104611.5
2010-12-10,AUDUSD,83505.6
2010-12-12,AUDUSD,12691.8
2010-12-13,AUDUSD,108915.5
2010-12-14,AUDUSD,124651.5
2010-12-15,AUDUSD,114958.0
2010-12-16,AUDUSD,98144.6
2010-12-17,AUDUSD,84032.6
2010-12-19,AUDUSD,15885.1
2010-12-20,AUDUSD,106407.2
2010-12-21,AUDUSD,97346.9
2010-12-22,AUDUSD,83441.0
2010-12-23,AUDUSD,70793.9
2010-12-24,AUDUSD,25755.1
2010-12-26,AUDUSD,10763.5
2010-12-27,AUDUSD,64308.7
2010-12-28,AUDUSD,88063.3
2010-12-29,AUDUSD,74513.9
2010-12-30,AUDUSD,63368.1
2010-12-31,AUDUSD,52621.8
2011-01-02,AUDUSD,9317.3
2011-01-03,AUDUSD,70636.8
2011-01-04,AUDUSD,118747.6
2011-01-05,AUDUSD,116599.0
2011-01-06,AUDUSD,101505.1
2011-01-07,AUDUSD,100962.1
2011-01-09,AUDUSD,14027.8
2011-01-10,AUDUSD,110742.3
2011-01-11,AUDUSD,126707.5
2011-01-12,AUDUSD,103445.4
2011-01-13,AUDUSD,103585.4
2011-01-14,AUDUSD,101359.7
2011-01-16,AUDUSD,12421.4
2011-01-17,AUDUSD,79507.7
2011-01-18,AUDUSD,112813.1
2011-01-19,AUDUSD,135034.6
2011-01-20,AUDUSD,141519.8
2011-01-21,AUDUSD,112808.5
2011-01-23,AUDUSD,11067.8
2011-01-24,AUDUSD,115146.9
2011-01-25,AUDUSD,120001.9
2011-01-26,AUDUSD,104644.8
2011-01-27,AUDUSD,123991.2
2011-01-28,AUDUSD,121310.5
2011-01-30,AUDUSD,20263.4
2011-01-31,AUDUSD,136908.3
2011-02-01,AUDUSD,175590.6
2011-02-02,AUDUSD,146651.2
2011-02-03,AUDUSD,151125.2
2011-02-04,AUDUSD,151330.0
2011-02-06,AUDUSD,18072.5
2011-02-07,AUDUSD,142027.0
2011-02-08,AUDUSD,154245.3
2011-02-09,AUDUSD,131572.3
2011-02-10,AUDUSD,142087.2
2011-02-11,AUDUSD,116505.4
2011-02-13,AUDUSD,15787.8
2011-02-14,AUDUSD,108022.9
2011-02-15,AUDUSD,140201.5
2011-02-16,AUDUSD,155819.2
2011-02-17,AUDUSD,147682.5
2011-02-18,AUDUSD,129959.7
2011-02-20,AUDUSD,9328.5
2011-02-21,AUDUSD,86561.3
2011-02-22,AUDUSD,180830.4
2011-02-23,AUDUSD,155040.2
2011-02-24,AUDUSD,201787.4
2011-02-25,AUDUSD,146102.8
2011-02-27,AUDUSD,19517.8
2011-02-28,AUDUSD,169743.3
2011-03-01,AUDUSD,181950.0
2011-03-02,AUDUSD,177978.9
2011-03-03,AUDUSD,147121.6
2011-03-04,AUDUSD,123094.8
2011-03-06,AUDUSD,14492.0
2011-03-07,AUDUSD,125410.7
2011-03-08,AUDUSD,143894.0
2011-03-09,AUDUSD,124546.7
2011-03-10,AUDUSD,173837.6
2011-03-11,AUDUSD,169620.8
2011-03-13,AUDUSD,30553.4
2011-03-14,AUDUSD,172415.8
2011-03-15,AUDUSD,251165.2
2011-03-16,AUDUSD,266382.4
2011-03-17,AUDUSD,226177.2
2011-03-18,AUDUSD,176798.6
2011-03-20,AUDUSD,18912.4
2011-03-21,AUDUSD,145290.7
2011-03-22,AUDUSD,133605.8
2011-03-23,AUDUSD,172671.2
2011-03-24,AUDUSD,180859.8
