Date,open,high,low,close,n_bars
2010-01-03,0.8983,0.8996,0.8971,0.8971,104
2010-01-04,0.8971,0.9136,0.8937,0.9124,1328
2010-01-05,0.9124,0.9173,0.9091,0.9115,1357
2010-01-06,0.9116,0.9216,0.9098,0.9199,1359
2010-01-07,0.9199,0.9266,0.9158,0.9175,1357
2010-01-08,0.9176,0.9252,0.9121,0.9246,1266
2010-01-10,0.9288,0.9308,0.9273,0.9303,113
2010-01-11,0.9304,0.9324,0.9283,0.9293,1348
2010-01-12,0.9294,0.9304,0.917,0.9203,1372
2010-01-13,0.9205,0.9267,0.9188,0.9238,1368
2010-01-14,0.9238,0.9329,0.9224,0.931,1351
2010-01-15,0.931,0.9313,0.9214,0.9223,1265
2010-01-17,0.9207,0.9223,0.9203,0.922,93
2010-01-18,0.922,0.9278,0.9173,0.927,1139
2010-01-19,0.927,0.9273,0.9174,0.9226,1375
2010-01-20,0.9227,0.9238,0.9072,0.9112,1392
2010-01-21,0.9112,0.9145,0.8991,0.904,1407
2010-01-22,0.9039,0.9091,0.8981,0.9003,1294
2010-01-24,0.9032,0.9055,0.9013,0.904,110
2010-01-25,0.9039,0.9092,0.9019,0.9046,1340
2010-01-26,0.9047,0.9083,0.8937,0.8998,1401
2010-01-27,0.8999,0.9044,0.8909,0.8956,1412
2010-01-28,0.8955,0.9046,0.8913,0.8935,1422
2010-01-29,0.8935,0.8961,0.8832,0.8835,1310
2010-01-31,0.8801,0.8871,0.8799,0.886,112
2010-02-01,0.8859,0.8923,0.8787,0.8915,1404
2010-02-02,0.8914,0.8926,0.8779,0.8872,1396
2010-02-03,0.8871,0.8914,0.8804,0.8819,1417
2010-02-04,0.8819,0.8825,0.8605,0.8684,1421
2010-02-05,0.8683,0.8718,0.8576,0.8682,1304
2010-02-07,0.8674,0.8683,0.865,0.8656,108
2010-02-08,0.8655,0.8708,0.8612,0.8632,1407
2010-02-09,0.8631,0.8796,0.8631,0.8772,1420
2010-02-10,0.8772,0.8791,0.8708,0.8768,1382
2010-02-11,0.8769,0.8919,0.8765,0.89,1401
2010-02-12,0.89,0.8912,0.8784,0.8874,1289
2010-02-14,0.8882,0.8885,0.8862,0.8878,81
2010-02-15,0.8878,0.8909,0.8847,0.8884,1187
2010-02-16,0.8883,0.9026,0.8875,0.9009,1371
2010-02-17,0.901,0.9035,0.8964,0.8987,1395
2010-02-18,0.8987,0.9025,0.8887,0.8897,1418
2010-02-19,0.8897,0.8988,0.8878,0.8986,1297
