Date,open,high,low,close,n_bars
2010-01-03,1.4301,1.4337,1.4298,1.4316,100
2010-01-04,1.4315,1.4456,1.4257,1.4425,1352
2010-01-05,1.4424,1.4483,1.4346,1.4364,1342
2010-01-06,1.4365,1.4435,1.4283,1.4402,1355
2010-01-07,1.4401,1.4447,1.4299,1.4317,1366
2010-01-08,1.4318,1.4439,1.4263,1.4409,1232
2010-01-10,1.4428,1.4478,1.4408,1.4464,105
2010-01-11,1.4465,1.4556,1.4462,1.4508,1372
2010-01-12,1.4507,1.4546,1.4453,1.4476,1358
2010-01-13,1.4477,1.4579,1.4456,1.4523,1368
2010-01-14,1.4522,1.4555,1.4446,1.4499,1327
2010-01-15,1.45,1.4503,1.4337,1.4386,1273
2010-01-17,1.4353,1.4371,1.4343,1.4368,98
2010-01-18,1.4369,1.4408,1.4335,1.4404,1231
2010-01-19,1.4403,1.4414,1.4252,1.428,1345
2010-01-20,1.4281,1.4289,1.408,1.4112,1386
2010-01-21,1.4113,1.4143,1.403,1.4099,1402
2010-01-22,1.4098,1.4182,1.4086,1.4138,1305
2010-01-24,1.4156,1.4173,1.4141,1.4153,96
2010-01-25,1.4154,1.4194,1.4128,1.4147,1332
2010-01-26,1.4148,1.4179,1.4042,1.4082,1391
2010-01-27,1.4081,1.4097,1.3993,1.4029,1383
2010-01-28,1.4028,1.4051,1.394,1.3963,1416
2010-01-29,1.3964,1.3987,1.3862,1.3862,1295
2010-01-31,1.3866,1.3882,1.3853,1.3876,96
2010-02-01,1.3875,1.3938,1.3852,1.3922,1373
2010-02-02,1.392,1.3976,1.3886,1.3975,1371
2010-02-03,1.3976,1.4025,1.3883,1.3897,1365
2010-02-04,1.3898,1.3902,1.3713,1.3742,1388
2010-02-05,1.3743,1.3746,1.3585,1.3678,1294
2010-02-07,1.3658,1.3667,1.3631,1.3643,114
2010-02-08,1.3642,1.3713,1.3621,1.3655,1396
2010-02-09,1.3656,1.3839,1.3649,1.3781,1406
2010-02-10,1.378,1.3812,1.3677,1.3748,1365
2010-02-11,1.3749,1.3801,1.3595,1.3687,1391
2010-02-12,1.3688,1.3689,1.3531,1.3631,1281
2010-02-14,1.3625,1.3625,1.3606,1.3622,82
2010-02-15,1.3623,1.3634,1.3579,1.3597,1266
2010-02-16,1.3598,1.3779,1.3588,1.3762,1343
2010-02-17,1.3763,1.3788,1.3584,1.3607,1359
2010-02-18,1.3606,1.3654,1.3442,1.3466,1398
2010-02-19,1.3465,1.3617,1.3453,1.3613,1293
2010-02-21,1.3636,1.3639,1.3601,1.3628,113
2010-02-22,1.3629,1.3653,1.3574,1.3605,1360
2010-02-23,1.3604,1.3691,1.3496,1.3523,1382
2010-02-24,1.3524,1.3625,1.3501,1.3542,1350
2010-02-25,1.3543,1.357,1.345,1.3535,1396
2010-02-26,1.3534,1.3682,1.3533,1.363,1298
