Date,open,high,low,close,n_bars
2010-01-03,1.6109,1.615,1.6105,1.6136,111
2010-01-04,1.6137,1.6239,1.6057,1.6111,1368
2010-01-05,1.6111,1.6152,1.5964,1.5988,1384
2010-01-06,1.5988,1.6062,1.5937,1.6019,1371
2010-01-07,1.6019,1.6058,1.5895,1.5932,1385
2010-01-08,1.5932,1.6109,1.5914,1.602,1270
2010-01-10,1.6066,1.6096,1.6043,1.6087,104
2010-01-11,1.6086,1.6192,1.6062,1.6109,1389
2010-01-12,1.611,1.6193,1.6061,1.6149,1376
2010-01-13,1.6152,1.6306,1.6135,1.6281,1394
2010-01-14,1.6281,1.6346,1.625,1.6332,1387
2010-01-15,1.6333,1.6355,1.6209,1.6262,1299
2010-01-17,1.6261,1.6287,1.6256,1.6286,110
2010-01-18,1.6286,1.6376,1.6248,1.635,1321
2010-01-19,1.635,1.6457,1.631,1.6356,1384
2010-01-20,1.6357,1.6369,1.6243,1.63,1381
2010-01-21,1.6301,1.631,1.6124,1.6197,1409
2010-01-22,1.6198,1.6283,1.6076,1.6111,1296
2010-01-24,1.61,1.6136,1.6088,1.6114,94
2010-01-25,1.6114,1.6259,1.6093,1.6245,1396
2010-01-26,1.6244,1.6267,1.6092,1.6141,1411
2010-01-27,1.6142,1.6243,1.6106,1.6175,1388
2010-01-28,1.6175,1.6276,1.6112,1.614,1410
2010-01-29,1.6141,1.6178,1.5977,1.5983,1305
2010-01-31,1.5944,1.5973,1.5935,1.5971,116
2010-02-01,1.5971,1.5977,1.5849,1.5944,1382
2010-02-02,1.5943,1.5994,1.5901,1.5987,1360
2010-02-03,1.5988,1.6068,1.5875,1.5913,1379
2010-02-04,1.5912,1.5917,1.5729,1.5766,1389
2010-02-05,1.5765,1.5774,1.5557,1.5639,1290
2010-02-07,1.5584,1.5606,1.5577,1.5599,112
2010-02-08,1.5599,1.5659,1.5534,1.5571,1397
2010-02-09,1.5572,1.5746,1.5561,1.5692,1375
2010-02-10,1.5691,1.5764,1.557,1.5607,1372
2010-02-11,1.5608,1.5717,1.5558,1.5699,1394
2010-02-12,1.5698,1.574,1.5579,1.5697,1277
2010-02-14,1.5679,1.568,1.5645,1.5665,90
2010-02-15,1.5666,1.572,1.561,1.5663,1209
2010-02-16,1.5664,1.5794,1.5626,1.5784,1321
2010-02-17,1.5782,1.5814,1.5665,1.5678,1317
2010-02-18,1.5678,1.5686,1.5405,1.5426,1393
2010-02-19,1.5427,1.5476,1.5349,1.547,1305
2010-02-21,1.5473,1.5476,1.5431,1.5468,109
2010-02-22,1.5469,1.552,1.5447,1.5499,1358
2010-02-23,1.5499,1.5573,1.5392,1.5443,1392
2010-02-24,1.5442,1.5475,1.5385,1.5413,1356
2010-02-25,1.5414,1.542,1.5188,1.5239,1397
2010-02-26,1.5238,1.5318,1.5151,1.5233,1295
2010-02-28,1.5154,1.518,1.5126,1.5179,114
2010-03-01,1.5178,1.5202,1.478,1.497,1404
2010-03-02,1.4971,1.5031,1.4853,1.5021,1388
2010-03-03,1.502,1.513,1.4974,1.5099,1385
2010-03-04,1.51,1.5135,1.5005,1.5029,1368
2010-03-05,1.503,1.5166,1.4991,1.5136,1253
2010-03-07,1.5127,1.5166,1.5125,1.5142,100
2010-03-08,1.5142,1.5195,1.503,1.5042,1391
2010-03-09,1.5041,1.5042,1.4935,1.5011,1382
2010-03-10,1.5012,1.5013,1.4871,1.4963,1368
2010-03-11,1.4964,1.5086,1.4945,1.5064,1366
2010-03-12,1.5065,1.5216,1.5025,1.5201,1278
2010-03-14,1.5175,1.5197,1.5168,1.5194,122
2010-03-15,1.5195,1.5206,1.5018,1.5045,1337
2010-03-16,1.5046,1.5258,1.4976,1.5233,1332
2010-03-17,1.5234,1.538,1.5208,1.5312,1349
2010-03-18,1.5312,1.5327,1.5215,1.5249,1342
2010-03-19,1.525,1.5254,1.4987,1.501,1176
2010-03-21,1.5024,1.5024,1.4979,1.4992,150
2010-03-22,1.4991,1.5109,1.4931,1.5108,1359
2010-03-23,1.5108,1.5111,1.4971,1.5019,1350
2010-03-24,1.5019,1.5035,1.4853,1.4895,1371
2010-03-25,1.4896,1.5005,1.4796,1.4846,1366
2010-03-26,1.4846,1.4923,1.4809,1.4895,1211
2010-03-28,1.492,1.4963,1.4909,1.4911,160
2010-03-29,1.4911,1.5018,1.489,1.4988,1327
2010-03-30,1.4989,1.5125,1.4973,1.5084,1318
2010-03-31,1.5083,1.5203,1.5042,1.5194,1361
2010-04-01,1.5193,1.5298,1.5179,1.5292,1330
2010-04-02,1.5292,1.5292,1.5181,1.5205,966
2010-04-04,1.5282,1.5292,1.5251,1.5255,158
2010-04-05,1.5256,1.5318,1.5222,1.528,1265
2010-04-06,1.528,1.528,1.5128,1.5235,1343
2010-04-07,1.5235,1.5285,1.5137,1.522,1369
2010-04-08,1.5221,1.5302,1.514,1.5295,1340
2010-04-09,1.5294,1.539,1.5266,1.5373,1212
2010-04-11,1.5459,1.5464,1.5414,1.5434,177
2010-04-12,1.5435,1.5484,1.5351,1.5366,1358
2010-04-13,1.5367,1.5448,1.5335,1.5377,1359
2010-04-14,1.5378,1.549,1.5376,1.5474,1334
2010-04-15,1.5475,1.5522,1.5384,1.5458,1407
2010-04-16,1.5459,1.5473,1.5354,1.536,1223
2010-04-18,1.5274,1.5313,1.5263,1.5284,159
2010-04-19,1.5285,1.5342,1.519,1.5331,1361
2010-04-20,1.5332,1.5431,1.5288,1.5362,1365
2010-04-21,1.5362,1.5439,1.5331,1.5413,1368
2010-04-22,1.5412,1.5472,1.532,1.5339,1400
2010-04-23,1.534,1.5398,1.5294,1.5374,1231
2010-04-25,1.5386,1.5389,1.5371,1.5385,124
2010-04-26,1.5386,1.5497,1.5386,1.5475,1398
2010-04-27,1.5474,1.5475,1.5224,1.5258,1389
2010-04-28,1.5258,1.5287,1.5124,1.519,1397
2010-04-29,1.519,1.5363,1.5141,1.5342,1405
2010-04-30,1.5342,1.539,1.5252,1.5272,1235
2010-05-02,1.5331,1.5332,1.5291,1.5298,156
2010-05-03,1.5299,1.5308,1.521,1.5242,1355
2010-05-04,1.5241,1.5263,1.5089,1.5134,1347
2010-05-05,1.5134,1.5172,1.5066,1.5097,1405
2010-05-06,1.5097,1.5146,1.4708,1.4896,1426
2010-05-07,1.4896,1.4934,1.4474,1.48,1259
2010-05-09,1.4879,1.4882,1.4759,1.4805,179
2010-05-10,1.4805,1.5053,1.4786,1.4833,1414
2010-05-11,1.4834,1.5003,1.4719,1.4951,1420
2010-05-12,1.4952,1.5044,1.4817,1.4847,1400
2010-05-13,1.4847,1.4917,1.4571,1.459,1397
2010-05-14,1.4591,1.4638,1.4495,1.4532,1247
2010-05-16,1.451,1.4544,1.4465,1.4477,139
2010-05-17,1.4476,1.4508,1.425,1.4463,1416
2010-05-18,1.4462,1.4518,1.4254,1.4255,1414
2010-05-19,1.4256,1.4465,1.4237,1.4423,1413
2010-05-20,1.4422,1.4458,1.4228,1.4392,1420
2010-05-21,1.4392,1.4494,1.4315,1.4457,1258
2010-05-23,1.4461,1.4486,1.4432,1.4441,148
2010-05-24,1.4441,1.4526,1.435,1.4383,1405
2010-05-25,1.4383,1.4447,1.4256,1.4389,1420
2010-05-26,1.4389,1.4441,1.4328,1.439,1420
2010-05-27,1.439,1.4605,1.4378,1.4563,1418
2010-05-28,1.4564,1.4609,1.4432,1.4448,1248
2010-05-30,1.4417,1.4466,1.4401,1.4461,128
2010-05-31,1.446,1.4546,1.4424,1.4504,1319
2010-06-01,1.4504,1.4721,1.4437,1.467,1413
2010-06-02,1.4668,1.4768,1.4551,1.4669,1403
2010-06-03,1.4668,1.4741,1.4584,1.464,1395
2010-06-04,1.464,1.468,1.445,1.445,1231
2010-06-06,1.4409,1.4444,1.4406,1.4421,145
2010-06-07,1.4422,1.4561,1.4386,1.4472,1386
2010-06-08,1.4472,1.4527,1.4344,1.4442,1384
2010-06-09,1.4442,1.4606,1.4393,1.4545,1369
2010-06-10,1.4546,1.4726,1.4507,1.4722,1408
2010-06-11,1.4722,1.4757,1.4502,1.4548,1246
2010-06-13,1.4574,1.461,1.4549,1.461,143
2010-06-14,1.461,1.4807,1.4568,1.4731,1382
2010-06-15,1.4732,1.4834,1.468,1.4796,1377
2010-06-16,1.4796,1.4853,1.4703,1.4707,1377
2010-06-17,1.4706,1.4836,1.4643,1.4806,1381
2010-06-18,1.4807,1.4884,1.4769,1.4822,1222
2010-06-20,1.4859,1.4873,1.4824,1.4835,160
2010-06-21,1.4835,1.4935,1.4736,1.4759,1383
2010-06-22,1.476,1.4857,1.4685,1.4806,1383
2010-06-23,1.4806,1.4971,1.48,1.4964,1407
2010-06-24,1.4964,1.501,1.4913,1.493,1389
2010-06-25,1.493,1.5076,1.4854,1.5058,1236
2010-06-27,1.5058,1.5063,1.5029,1.5041,99
2010-06-28,1.504,1.5126,1.5014,1.5103,1352
2010-06-29,1.5104,1.5118,1.501,1.5052,1382
2010-06-30,1.5051,1.5072,1.493,1.4955,1408
2010-07-01,1.4956,1.5188,1.4871,1.5161,1404
2010-07-02,1.5161,1.5227,1.5147,1.5192,1233
2010-07-04,1.52,1.52,1.5183,1.5185,91
2010-07-05,1.5186,1.5197,1.5087,1.5099,1125
