Date,open,high,low,close,n_bars
2010-01-03,1.0518,1.0518,1.0458,1.047,86
2010-01-04,1.0471,1.0516,1.035,1.0409,1274
2010-01-05,1.0409,1.041,1.0335,1.0394,1320
2010-01-06,1.0394,1.0408,1.0311,1.0319,1252
2010-01-07,1.0318,1.0373,1.029,1.0341,1278
2010-01-08,1.034,1.0382,1.0294,1.0295,1153
2010-01-10,1.0278,1.0309,1.0264,1.0278,86
2010-01-11,1.028,1.0343,1.0251,1.0338,1275
2010-01-12,1.0339,1.0413,1.0312,1.0392,1294
2010-01-13,1.0392,1.0411,1.0289,1.0308,1300
2010-01-14,1.0309,1.0321,1.0223,1.0236,1258
2010-01-15,1.0236,1.0312,1.0235,1.0288,1200
2010-01-17,1.03,1.0302,1.0286,1.0293,52
2010-01-18,1.0293,1.0313,1.0246,1.0249,1111
2010-01-19,1.025,1.0347,1.0246,1.0316,1229
2010-01-20,1.0316,1.0488,1.0311,1.045,1329
2010-01-21,1.0451,1.0524,1.0437,1.0504,1339
2010-01-22,1.0504,1.0602,1.0463,1.0574,1245
2010-01-24,1.0579,1.058,1.0553,1.0564,77
2010-01-25,1.0565,1.0612,1.0531,1.0569,1270
2010-01-26,1.057,1.0691,1.0545,1.062,1324
2010-01-27,1.062,1.0686,1.0608,1.0636,1351
2010-01-28,1.0637,1.0678,1.0555,1.066,1356
2010-01-29,1.0659,1.0704,1.0622,1.0701,1247
2010-01-31,1.0705,1.0706,1.0679,1.0679,77
2010-02-01,1.068,1.072,1.0605,1.0619,1292
2010-02-02,1.0619,1.0639,1.0564,1.0572,1292
2010-02-03,1.0572,1.0635,1.0544,1.0617,1276
2010-02-04,1.0618,1.0752,1.0596,1.072,1273
2010-02-05,1.072,1.0779,1.0643,1.0713,1255
2010-02-07,1.0683,1.0716,1.0678,1.0713,88
2010-02-08,1.0714,1.0773,1.0655,1.0747,1346
2010-02-09,1.0747,1.0755,1.0644,1.0673,1345
2010-02-10,1.0674,1.0707,1.0596,1.0619,1322
2010-02-11,1.0618,1.0618,1.0478,1.0501,1338
2010-02-12,1.0501,1.0578,1.0488,1.05,1232
2010-02-14,1.0507,1.0518,1.0505,1.0507,54
2010-02-15,1.0508,1.0531,1.0461,1.0493,1085
2010-02-16,1.0494,1.0497,1.0408,1.0435,1216
2010-02-17,1.0435,1.047,1.041,1.0459,1259
2010-02-18,1.0459,1.0516,1.0395,1.0498,1329
2010-02-19,1.0498,1.0528,1.0387,1.0388,1275
2010-02-21,1.0382,1.0397,1.0382,1.0387,75
2010-02-22,1.0388,1.0439,1.0369,1.0419,1256
2010-02-23,1.0419,1.0578,1.038,1.0547,1252
2010-02-24,1.0546,1.0592,1.0508,1.0526,1275
2010-02-25,1.0525,1.0679,1.0512,1.0611,1341
2010-02-26,1.0613,1.0617,1.0509,1.0514,1245
2010-02-28,1.0544,1.0544,1.0504,1.051,93
2010-03-01,1.0511,1.0572,1.0407,1.0417,1298
2010-03-02,1.0417,1.0441,1.0307,1.0348,1286
2010-03-03,1.0349,1.036,1.0272,1.0319,1286
2010-03-04,1.032,1.0338,1.0269,1.0311,1254
2010-03-05,1.031,1.033,1.026,1.0292,1134
2010-03-07,1.0273,1.0281,1.0265,1.0265,91
2010-03-08,1.0265,1.0293,1.0249,1.0277,1260
2010-03-09,1.0276,1.0318,1.0234,1.0266,1272
2010-03-10,1.0267,1.0291,1.0215,1.0254,1213
2010-03-11,1.0253,1.0321,1.0227,1.0235,1214
2010-03-12,1.0236,1.0247,1.0153,1.019,1163
2010-03-14,1.0173,1.0178,1.0163,1.0164,97
2010-03-15,1.0165,1.0231,1.0164,1.0189,1227
2010-03-16,1.0189,1.0202,1.0131,1.0132,1225
2010-03-17,1.0133,1.0141,1.007,1.0102,1196
2010-03-18,1.0102,1.015,1.0088,1.0134,1239
2010-03-19,1.0134,1.0187,1.006,1.017,1142
2010-03-21,1.0154,1.0169,1.015,1.0166,121
2010-03-22,1.0166,1.0242,1.0145,1.0166,1204
2010-03-23,1.0167,1.0227,1.015,1.0162,1236
2010-03-24,1.0162,1.0281,1.0156,1.0234,1235
2010-03-25,1.0233,1.0248,1.0168,1.0233,1261
2010-03-26,1.0232,1.0301,1.0203,1.0264,1133
2010-03-28,1.0252,1.027,1.0248,1.0259,109
2010-03-29,1.026,1.0269,1.0175,1.0211,1258
2010-03-30,1.0212,1.0221,1.0156,1.0175,1198
2010-03-31,1.0174,1.0197,1.0126,1.0137,1322
2010-04-01,1.0137,1.0145,1.0066,1.0093,1249
2010-04-02,1.0094,1.0128,1.0084,1.0107,688
2010-04-04,1.0082,1.0088,1.007,1.0085,108
2010-04-05,1.0084,1.0084,1.0008,1.0017,998
2010-04-06,1.0018,1.0045,0.9987,1.0016,1263
2010-04-07,1.0016,1.0061,0.9976,1.0053,1226
2010-04-08,1.0054,1.0104,1.0006,1.0007,1199
2010-04-09,1.0006,1.0082,0.999,1.0025,1106
2010-04-11,1.002,1.0053,1.0009,1.0033,154
2010-04-12,1.0032,1.0087,1.001,1.0028,1228
2010-04-13,1.0029,1.0064,1.0003,1.0013,1238
2010-04-14,1.0013,1.0015,0.995,0.998,1254
2010-04-15,0.9979,1.0035,0.9962,1.002,1246
2010-04-16,1.002,1.0163,1.0002,1.0126,1191
2010-04-18,1.0144,1.0157,1.0141,1.015,137
2010-04-19,1.0149,1.0215,1.0134,1.0146,1306
2010-04-20,1.0146,1.0162,0.9969,0.9981,1306
2010-04-21,0.9982,1.0013,0.9929,0.999,1325
2010-04-22,0.999,1.0038,0.996,1.0026,1324
2010-04-23,1.0027,1.0064,0.9967,0.9988,1162
2010-04-25,0.9995,0.9999,0.9985,0.9996,109
2010-04-26,0.9996,1.0022,0.9969,1.0002,1240
2010-04-27,1.0002,1.018,1.0,1.0148,1268
2010-04-28,1.0149,1.0196,1.0073,1.0106,1327
2010-04-29,1.0105,1.0111,1.0012,1.0044,1237
2010-04-30,1.0043,1.0177,1.0015,1.0176,1168
2010-05-02,1.0172,1.0172,1.0156,1.0159,109
2010-05-03,1.0158,1.0184,1.0099,1.0115,1218
2010-05-04,1.0114,1.0256,1.0106,1.0239,1253
2010-05-05,1.0239,1.0353,1.023,1.0308,1335
2010-05-06,1.0308,1.0738,1.028,1.0484,1375
2010-05-07,1.0485,1.057,1.0336,1.0438,1255
2010-05-09,1.0341,1.039,1.0307,1.0369,171
2010-05-10,1.0371,1.0374,1.0209,1.0245,1384
2010-05-11,1.0246,1.0287,1.0148,1.0204,1383
2010-05-12,1.0205,1.0245,1.0152,1.018,1315
2010-05-13,1.0181,1.0226,1.0109,1.0212,1328
2010-05-14,1.0212,1.0377,1.021,1.0354,1156
2010-05-16,1.0333,1.0365,1.033,1.0353,115
2010-05-17,1.0352,1.0436,1.0307,1.033,1362
2010-05-18,1.0329,1.0424,1.0245,1.0424,1359
2010-05-19,1.0425,1.0537,1.0384,1.0447,1385
2010-05-20,1.0446,1.0745,1.0429,1.0693,1410
2010-05-21,1.0694,1.0749,1.055,1.0592,1256
2010-05-23,1.0603,1.0639,1.0602,1.0627,146
2010-05-24,1.0628,1.0659,1.0532,1.0636,1409
2010-05-25,1.0636,1.0852,1.0629,1.0682,1412
2010-05-26,1.0683,1.0743,1.0579,1.0688,1399
2010-05-27,1.0687,1.0704,1.0479,1.0492,1420
2010-05-28,1.0493,1.0558,1.0442,1.0544,1232
2010-05-30,1.0521,1.055,1.0513,1.0543,117
2010-05-31,1.0543,1.0544,1.0412,1.0425,1252
2010-06-01,1.0424,1.0561,1.042,1.0537,1385
