Date,open,high,low,close,n_bars
2010-01-03,1.0368,1.037,1.0338,1.0361,104
2010-01-04,1.0361,1.042,1.0262,1.0289,1336
2010-01-05,1.029,1.0359,1.0251,1.0334,1352
2010-01-06,1.0334,1.0378,1.0248,1.0275,1358
2010-01-07,1.0274,1.037,1.0241,1.0336,1364
2010-01-08,1.0337,1.0384,1.0215,1.0239,1255
2010-01-10,1.0222,1.0239,1.0191,1.0203,95
2010-01-11,1.0203,1.0206,1.013,1.0167,1377
2010-01-12,1.0167,1.0207,1.0144,1.0188,1351
2010-01-13,1.0188,1.0217,1.0137,1.0174,1357
2010-01-14,1.0175,1.0234,1.0159,1.0187,1348
2010-01-15,1.0187,1.0286,1.0185,1.025,1259
2010-01-17,1.0275,1.0283,1.0265,1.0266,81
2010-01-18,1.0265,1.029,1.0234,1.0237,1224
2010-01-19,1.0238,1.0354,1.0226,1.0327,1353
2010-01-20,1.0328,1.0462,1.0325,1.0435,1385
2010-01-21,1.0435,1.0494,1.0402,1.0419,1400
2010-01-22,1.042,1.0445,1.0374,1.0408,1282
2010-01-24,1.04,1.0415,1.0399,1.0413,89
2010-01-25,1.0414,1.0423,1.0367,1.04,1337
2010-01-26,1.04,1.0491,1.0377,1.0458,1381
2010-01-27,1.0458,1.0525,1.0446,1.0496,1385
2010-01-28,1.0497,1.0555,1.0476,1.0519,1391
2010-01-29,1.0519,1.0642,1.0481,1.0606,1277
2010-01-31,1.0601,1.0624,1.06,1.0601,98
2010-02-01,1.0602,1.0622,1.0552,1.0568,1380
2010-02-02,1.0569,1.0606,1.054,1.0546,1345
2010-02-03,1.0545,1.0599,1.0496,1.0583,1349
2010-02-04,1.0582,1.0675,1.0579,1.0657,1388
2010-02-05,1.0657,1.0794,1.0645,1.0723,1303
2010-02-07,1.0746,1.0767,1.074,1.0754,106
2010-02-08,1.0755,1.0772,1.0682,1.0728,1394
2010-02-09,1.0728,1.0746,1.0608,1.0653,1395
2010-02-10,1.0654,1.072,1.0617,1.0666,1370
2010-02-11,1.0666,1.0782,1.0626,1.0704,1375
2010-02-12,1.0705,1.0826,1.0704,1.0753,1270
2010-02-14,1.0765,1.0771,1.0755,1.0758,89
2010-02-15,1.0759,1.0803,1.0752,1.0775,1217
2010-02-16,1.0775,1.0788,1.0652,1.066,1335
2010-02-17,1.0659,1.0799,1.0646,1.0774,1334
2010-02-18,1.0773,1.0889,1.0747,1.0871,1367
2010-02-19,1.0873,1.0897,1.0748,1.0754,1276
2010-02-21,1.0741,1.0772,1.0739,1.0748,104
2010-02-22,1.0749,1.0787,1.0738,1.0753,1352
2010-02-23,1.0753,1.0847,1.0714,1.0823,1396
2010-02-24,1.0823,1.0841,1.0738,1.0808,1368
2010-02-25,1.0808,1.0877,1.0783,1.0811,1400
2010-02-26,1.0811,1.0812,1.0693,1.0731,1292
