Date,open,high,low,close,n_bars
2010-01-03,92.97,93.09,92.69,92.74,103
2010-01-04,92.75,93.21,92.19,92.48,1258
2010-01-05,92.47,92.52,91.25,91.56,1291
2010-01-06,91.57,92.74,91.52,92.36,1260
2010-01-07,92.35,93.77,92.11,93.45,1318
2010-01-08,93.46,93.67,92.28,92.65,1221
2010-01-10,92.6,92.62,92.22,92.36,99
2010-01-11,92.35,92.66,91.81,92.11,1234
2010-01-12,92.1,92.43,90.72,91.1,1334
2010-01-13,91.11,91.56,90.9,91.38,1287
2010-01-14,91.4,92.03,90.84,91.27,1305
2010-01-15,91.28,91.32,90.6,90.83,1223
2010-01-17,90.78,91.0,90.74,90.85,86
2010-01-18,90.84,91.06,90.57,90.7,1134
2010-01-19,90.71,91.26,90.31,91.21,1291
2010-01-20,91.2,91.46,90.79,91.21,1278
2010-01-21,91.2,91.87,89.87,90.45,1372
2010-01-22,90.44,90.55,89.78,89.81,1272
2010-01-24,90.23,90.23,89.87,90.0,110
2010-01-25,90.01,90.47,89.82,90.41,1255
2010-01-26,90.4,90.55,89.34,89.65,1334
2010-01-27,89.64,90.08,89.14,89.97,1362
2010-01-28,89.96,90.55,89.63,89.79,1348
2010-01-29,89.8,90.92,89.58,90.26,1257
2010-01-31,89.89,90.29,89.88,90.24,105
2010-02-01,90.25,90.94,89.99,90.77,1277
2010-02-02,90.76,90.91,90.26,90.44,1264
2010-02-03,90.43,91.28,90.07,90.86,1258
2010-02-04,90.85,91.07,88.55,89.37,1310
2010-02-05,89.38,89.89,88.82,89.24,1282
2010-02-07,89.43,89.46,89.14,89.26,109
2010-02-08,89.27,89.56,89.14,89.23,1267
2010-02-09,89.22,89.94,89.22,89.81,1320
2010-02-10,89.8,90.06,89.24,89.92,1304
2010-02-11,89.91,90.14,89.57,89.82,1208
2010-02-12,89.81,90.42,89.59,89.97,1155
2010-02-14,90.11,90.11,89.98,90.06,81
2010-02-15,90.07,90.23,89.91,90.06,1061
2010-02-16,90.05,90.51,89.7,90.25,1225
2010-02-17,90.24,91.38,90.15,91.08,1252
2010-02-18,91.09,92.09,90.56,91.97,1292
2010-02-19,91.96,92.15,91.49,91.52,1274
2010-02-21,91.52,91.74,91.48,91.62,103
2010-02-22,91.63,91.9,91.02,91.26,1259
2010-02-23,91.27,91.29,89.9,90.16,1297
2010-02-24,90.17,90.36,89.76,90.29,1202
2010-02-25,90.28,90.29,88.8,89.29,1326
2010-02-26,89.27,89.5,88.74,88.96,1196
2010-02-28,88.86,89.1,88.85,88.87,109
2010-03-01,88.86,89.48,88.81,89.18,1229
2010-03-02,89.17,89.37,88.55,88.77,1262
2010-03-03,88.76,88.99,88.32,88.6,1250
2010-03-04,88.58,89.25,88.14,89.17,1236
2010-03-05,89.16,90.59,89.15,90.28,1127
2010-03-07,90.4,90.68,90.35,90.61,111
2010-03-08,90.6,90.66,90.15,90.3,1231
2010-03-09,90.31,90.31,89.63,90.0,1260
2010-03-10,90.01,90.82,89.94,90.49,1183
2010-03-11,90.5,90.74,90.21,90.67,1226
2010-03-12,90.66,91.08,90.17,90.55,1144
2010-03-14,90.84,90.84,90.54,90.71,123
2010-03-15,90.7,90.8,90.27,90.33,1200
2010-03-16,90.34,90.73,89.98,90.31,1225
2010-03-17,90.32,90.71,90.03,90.42,1272
2010-03-18,90.41,90.8,89.76,90.48,1261
2010-03-19,90.49,90.72,90.33,90.54,1054
2010-03-21,90.49,90.56,90.43,90.44,93
2010-03-22,90.45,90.77,89.83,90.32,1114
2010-03-23,90.33,90.47,90.13,90.41,1167
2010-03-24,90.4,92.4,90.38,92.02,1280
2010-03-25,92.01,92.95,91.76,92.52,1319
2010-03-26,92.53,92.89,92.3,92.49,1145
2010-03-28,92.44,92.49,92.35,92.4,133
2010-03-29,92.41,92.79,92.35,92.42,1212
2010-03-30,92.41,93.02,92.12,92.93,1249
2010-03-31,92.92,93.64,92.81,93.52,1312
2010-04-01,93.51,94.04,93.28,93.73,1236
2010-04-02,93.74,94.69,93.67,94.61,924
2010-04-04,94.68,94.78,94.53,94.53,140
2010-04-05,94.52,94.59,94.08,94.28,1098
2010-04-06,94.27,94.29,93.56,93.62,1282
2010-04-07,93.63,94.27,93.15,93.2,1303
2010-04-08,93.21,93.52,92.83,93.42,1261
2010-04-09,93.41,93.78,93.11,93.18,1117
2010-04-11,92.91,93.27,92.9,93.09,167
2010-04-12,93.08,93.61,93.05,93.2,1237
2010-04-13,93.21,93.41,92.57,93.23,1278
2010-04-14,93.24,93.72,92.82,93.3,1245
2010-04-15,93.29,93.52,92.86,93.13,1248
2010-04-16,93.12,93.12,91.9,92.17,1188
2010-04-18,91.86,92.11,91.82,91.95,160
2010-04-19,91.96,92.54,91.59,92.48,1321
2010-04-20,92.47,93.39,92.47,93.12,1260
2010-04-21,93.11,93.45,92.93,93.0,1274
2010-04-22,92.99,93.63,92.74,93.53,1335
2010-04-23,93.52,94.33,93.31,93.96,1130
2010-04-25,94.0,94.18,93.93,94.17,141
2010-04-26,94.16,94.36,93.81,93.87,1277
2010-04-27,93.88,94.03,92.81,93.19,1335
2010-04-28,93.18,94.32,92.99,94.01,1349
2010-04-29,94.0,94.26,93.85,93.96,1201
2010-04-30,93.95,94.58,93.83,93.84,1156
2010-05-02,93.9,94.13,93.86,94.12,140
2010-05-03,94.13,94.79,93.84,94.66,1130
2010-05-04,94.65,94.98,94.32,94.9,1293
2010-05-05,94.89,94.98,93.54,93.87,1325
2010-05-06,93.88,93.98,88.26,91.36,1411
2010-05-07,91.35,93.11,90.84,91.6,1259
2010-05-09,92.44,92.73,91.69,92.18,177
2010-05-10,92.19,93.54,91.83,93.01,1386
2010-05-11,93.02,93.26,92.21,92.81,1397
2010-05-12,92.82,93.28,92.45,93.19,1325
2010-05-13,93.2,93.64,92.58,92.61,1333
2010-05-14,92.6,93.09,91.8,92.45,1213
2010-05-16,92.25,92.41,92.18,92.25,123
2010-05-17,92.26,92.69,91.76,92.54,1382
2010-05-18,92.53,92.97,91.86,91.86,1396
2010-05-19,91.85,92.15,90.94,91.77,1415
2010-05-20,91.78,91.88,88.96,89.85,1417
2010-05-21,89.86,90.46,89.21,89.96,1253
2010-05-23,90.3,90.37,89.93,90.16,150
2010-05-24,90.15,90.61,89.73,90.07,1383
2010-05-25,90.08,90.48,89.25,90.31,1413
2010-05-26,90.32,90.66,89.79,89.97,1400
2010-05-27,89.96,91.07,89.9,90.97,1380
2010-05-28,90.98,91.4,90.59,91.05,1209
2010-05-30,91.0,91.25,90.91,91.21,94
2010-05-31,91.22,91.6,90.91,91.14,1184
2010-06-01,91.15,91.45,90.53,91.14,1359
2010-06-02,91.15,92.34,91.01,92.07,1350
2010-06-03,92.08,92.79,92.03,92.58,1316
2010-06-04,92.59,92.87,91.41,91.9,1199
2010-06-06,91.74,91.94,91.48,91.61,153
2010-06-07,91.62,92.07,90.97,91.56,1380
2010-06-08,91.57,91.91,90.82,91.32,1380
2010-06-09,91.34,91.66,91.04,91.33,1354
2010-06-10,91.34,91.54,90.84,91.46,1345
2010-06-11,91.45,91.77,91.24,91.64,1187
2010-06-13,91.82,91.83,91.59,91.64,136
2010-06-14,91.65,92.1,91.41,91.62,1300
2010-06-15,91.63,91.68,91.07,91.51,1284
2010-06-16,91.5,91.81,91.08,91.31,1256
2010-06-17,91.3,91.41,90.5,90.87,1300
2010-06-18,90.86,90.94,90.43,90.7,1104
2010-06-20,90.28,90.57,90.25,90.54,170
2010-06-21,90.55,91.47,90.33,91.01,1293
2010-06-22,91.0,91.09,90.32,90.37,1268
2010-06-23,90.38,90.56,89.73,89.95,1246
2010-06-24,89.94,89.96,89.22,89.56,1278
2010-06-25,89.57,89.77,89.21,89.23,1158
2010-06-27,89.27,89.41,89.27,89.29,121
2010-06-28,89.28,89.46,89.06,89.38,1156
2010-06-29,89.39,89.41,88.28,88.59,1306
2010-06-30,88.6,88.76,88.36,88.52,1307
2010-07-01,88.51,88.52,86.96,87.75,1385
2010-07-02,87.74,88.2,87.31,87.74,1174
2010-07-04,87.71,87.82,87.64,87.74,106
2010-07-05,87.75,87.99,87.44,87.5,1004
2010-07-06,87.51,87.97,87.34,87.65,1295
2010-07-07,87.64,87.83,87.01,87.82,1290
2010-07-08,87.83,88.63,87.79,88.51,1309
2010-07-09,88.5,88.69,88.36,88.61,1110
2010-07-11,88.72,88.83,88.57,88.83,121
2010-07-12,88.82,89.14,88.38,88.74,1237
2010-07-13,88.73,88.85,88.02,88.81,1379
2010-07-14,88.8,89.1,88.06,88.3,1309
2010-07-15,88.3,88.4,87.22,87.42,1379
2010-07-16,87.42,87.49,86.25,86.57,1212
2010-07-18,86.51,86.66,86.47,86.53,123
2010-07-19,86.52,87.21,86.52,86.75,1308
2010-07-20,86.76,87.56,86.73,87.4,1357
2010-07-21,87.39,87.43,86.78,86.84,1338
2010-07-22,86.84,87.22,86.33,87.2,1343
2010-07-23,87.2,87.49,86.72,87.39,1218
2010-07-25,87.48,87.66,87.41,87.66,143
2010-07-26,87.65,87.71,86.81,86.89,1311
2010-07-27,86.9,87.96,86.82,87.76,1280
2010-07-28,87.76,88.11,87.24,87.42,1345
2010-07-29,87.41,87.44,86.56,86.74,1308
2010-07-30,86.75,86.8,85.93,86.46,1192
2010-08-01,86.34,86.52,86.32,86.51,105
2010-08-02,86.51,86.87,86.31,86.52,1273
2010-08-03,86.52,86.59,85.66,85.86,1313
2010-08-04,85.87,86.39,85.31,86.33,1325
2010-08-05,86.34,86.44,85.7,85.8,1300
2010-08-06,85.8,86.17,85.01,85.49,1153
2010-08-08,85.4,85.45,85.29,85.34,112
2010-08-09,85.35,86.04,85.33,85.92,1229
2010-08-10,85.93,86.22,85.16,85.3,1296
2010-08-11,85.31,85.46,84.72,85.12,1378
2010-08-12,85.12,86.17,84.92,86.15,1330
2010-08-13,86.16,86.36,85.56,86.17,1161
2010-08-15,86.16,86.23,85.91,85.96,132
2010-08-16,85.97,85.97,85.1,85.17,1260
2010-08-17,85.18,85.67,85.17,85.6,1308
2010-08-18,85.59,85.6,85.18,85.46,1308
2010-08-19,85.46,85.91,84.88,85.19,1320
2010-08-20,85.2,85.81,85.19,85.56,1162
2010-08-22,85.57,85.7,85.49,85.55,131
2010-08-23,85.54,85.63,85.05,85.07,1270
2010-08-24,85.08,85.15,83.58,84.17,1361
2010-08-25,84.17,84.82,84.04,84.77,1360
2010-08-26,84.78,84.87,84.26,84.31,1330
2010-08-27,84.31,85.44,84.27,85.22,1206
2010-08-29,85.31,85.73,85.31,85.58,144
2010-08-30,85.59,85.89,84.48,84.59,1335
2010-08-31,84.6,84.65,83.82,84.12,1312
2010-09-01,84.11,84.65,83.66,84.5,1341
2010-09-02,84.5,84.54,83.99,84.36,1289
2010-09-03,84.35,85.22,84.16,84.29,1129
2010-09-05,84.14,84.47,84.13,84.45,112
2010-09-06,84.46,84.48,84.03,84.16,1080
2010-09-07,84.15,84.25,83.5,83.74,1311
2010-09-08,83.73,84.03,83.33,83.98,1326
2010-09-09,83.99,84.02,83.48,83.9,1335
2010-09-10,83.91,84.37,83.74,84.14,1188
2010-09-12,84.22,84.35,84.16,84.23,131
2010-09-13,84.23,84.27,83.49,83.59,1329
2010-09-14,83.6,83.7,82.91,83.07,1328
2010-09-15,83.07,85.76,82.86,85.6,1396
2010-09-16,85.59,85.92,85.21,85.8,1336
2010-09-17,85.8,85.92,85.58,85.85,1178
2010-09-19,85.74,85.77,85.67,85.74,85
2010-09-20,85.73,85.79,85.5,85.71,1121
2010-09-21,85.71,85.71,84.96,84.98,1304
2010-09-22,84.98,85.0,84.26,84.58,1319
2010-09-23,84.59,84.66,84.25,84.55,1234
2010-09-24,84.55,85.38,84.1,84.2,1170
2010-09-26,84.23,84.38,84.2,84.32,132
2010-09-27,84.31,84.36,84.1,84.25,1304
2010-09-28,84.26,84.33,83.68,83.93,1288
2010-09-29,83.92,84.07,83.49,83.76,1301
2010-09-30,83.75,83.79,83.15,83.5,1311
2010-10-01,83.5,83.54,83.15,83.21,1166
2010-10-03,83.24,83.39,83.21,83.33,114
2010-10-04,83.34,83.86,83.17,83.57,1234
2010-10-05,83.56,83.97,82.95,83.15,1211
2010-10-06,83.14,83.23,82.75,82.97,1168
2010-10-07,82.96,83.02,82.1,82.35,1192
2010-10-08,82.36,82.55,81.71,81.91,1066
2010-10-10,81.94,81.96,81.37,81.81,130
2010-10-11,81.82,82.35,81.82,82.3,1011
2010-10-12,82.29,82.3,81.65,81.79,1205
2010-10-13,81.8,82.0,81.69,81.71,1106
2010-10-14,81.7,81.71,80.88,81.57,1223
2010-10-15,81.58,81.61,80.86,81.44,1019
2010-10-17,81.37,81.48,81.25,81.32,107
2010-10-18,81.33,81.4,81.12,81.17,1140
2010-10-19,81.18,81.91,81.14,81.45,1243
2010-10-20,81.44,81.46,80.83,81.1,1148
2010-10-21,81.09,81.82,80.91,81.26,1242
2010-10-22,81.27,81.49,80.98,81.36,1021
2010-10-24,81.27,81.44,81.27,81.3,115
2010-10-25,81.31,81.31,80.4,80.8,1188
2010-10-26,80.79,81.64,80.6,81.4,1213
2010-10-27,81.41,81.97,81.36,81.57,1274
2010-10-28,81.58,81.69,80.86,80.92,1178
2010-10-29,80.93,81.06,80.37,80.38,1055
2010-10-31,80.29,80.4,80.23,80.39,125
2010-11-01,80.4,81.42,80.32,80.57,1135
2010-11-02,80.56,80.95,80.46,80.66,1127
2010-11-03,80.65,81.57,80.59,81.06,1128
2010-11-04,81.05,81.21,80.57,80.77,1242
2010-11-05,80.76,81.46,80.6,81.26,1149
2010-11-07,81.23,81.29,81.14,81.15,93
2010-11-08,81.16,81.43,80.99,81.09,1145
2010-11-09,81.1,81.95,80.52,81.57,1311
2010-11-10,81.58,82.78,81.55,82.21,1341
2010-11-11,82.2,82.59,82.03,82.41,1231
2010-11-12,82.42,82.65,81.64,82.51,1217
2010-11-14,82.46,82.51,82.42,82.48,96
2010-11-15,82.47,83.25,82.38,83.15,1316
2010-11-16,83.16,83.58,82.84,83.37,1311
2010-11-17,83.38,83.54,83.02,83.12,1209
2010-11-18,83.13,83.77,83.09,83.53,1214
2010-11-19,83.54,83.63,83.13,83.54,1102
2010-11-21,83.51,83.52,83.36,83.47,97
2010-11-22,83.48,83.54,83.22,83.3,1177
2010-11-23,83.31,83.83,82.78,83.26,1194
2010-11-24,83.27,83.65,82.93,83.52,1235
2010-11-25,83.51,83.69,83.39,83.64,1035
2010-11-26,83.63,84.18,83.63,84.1,1080
2010-11-28,84.05,84.17,83.89,84.17,103
