Date,rv5,rq5,bpv5,rsp,rsn,n5,pair
2010-01-03,2.787134884712884e-06,9.962681593821918e-12,2.338508451113009e-06,8.785840435126498e-07,1.9085508412002345e-06,23,AUDUSD
2010-01-04,5.767636426574044e-05,4.717309472082003e-09,5.758757215364599e-05,3.686022781047368e-05,2.081613645526676e-05,287,AUDUSD
2010-01-05,6.602636741619418e-05,5.841034849347698e-09,5.886290308540737e-05,3.276696448347934e-05,3.3259402932714844e-05,287,AUDUSD
2010-01-06,5.349447389556052e-05,4.513314659343518e-09,5.327604072195259e-05,3.0180538780472703e-05,2.3313935115087816e-05,287,AUDUSD
2010-01-07,8.554617978482663e-05,5.902697953606551e-08,6.696467448729794e-05,4.865942644128054e-05,3.688675334354608e-05,287,AUDUSD
2010-01-08,8.035358749169111e-05,4.596128891046872e-08,5.618303847307645e-05,5.094151792618865e-05,2.9412069565502463e-05,264,AUDUSD
2010-01-10,3.7883672807068176e-06,2.0305534911468733e-11,3.388583408411715e-06,2.825668047627726e-06,9.62699233079092e-07,23,AUDUSD
2010-01-11,4.256145044676024e-05,2.0838180843479687e-09,3.89623362803923e-05,2.1329940855529447e-05,2.12315095912308e-05,286,AUDUSD
2010-01-12,9.069885880197264e-05,3.14967551790486e-08,7.736920701800723e-05,3.4554148934886425e-05,5.61447098670862e-05,287,AUDUSD
2010-01-13,6.994265497713972e-05,7.3660960260905285e-09,6.857440838322204e-05,3.83588386403644e-05,3.158381633677532e-05,287,AUDUSD
2010-01-14,8.208994969337699e-05,1.316845405210364e-07,6.084202327451259e-05,5.9826473814592e-05,2.226347587878496e-05,287,AUDUSD
2010-01-15,4.85357675404421e-05,3.423389213054407e-09,4.53539264291302e-05,1.7900844435951432e-05,3.063492310449067e-05,263,AUDUSD
2010-01-17,3.782712034324801e-06,1.3961288478397687e-11,4.006106152408095e-06,2.509907523721264e-06,1.2728045106035374e-06,23,AUDUSD
2010-01-18,3.15537901837467e-05,1.490360829816691e-09,3.042399095662032e-05,1.7688082820449047e-05,1.3865707363297656e-05,283,AUDUSD
2010-01-19,6.50795922325497e-05,6.859582186998938e-09,6.048695825019368e-05,2.9006471117505708e-05,3.607312111504399e-05,287,AUDUSD
2010-01-20,8.059941668589954e-05,9.554542444875188e-09,8.265016751878676e-05,3.228072126094024e-05,4.831869542495931e-05,287,AUDUSD
2010-01-21,0.0001199306326184,2.594931735778905e-08,0.0001246246009022,5.377600988211319e-05,6.615462273635908e-05,287,AUDUSD
2010-01-22,0.0001175533006206,2.7226579024092053e-08,0.0001095935692837,5.8441564528738025e-05,5.911173609192194e-05,263,AUDUSD
2010-01-24,7.037317894834142e-06,6.469500955776537e-11,5.028111717792622e-06,3.811048395148386e-06,3.226269499685756e-06,23,AUDUSD
2010-01-25,7.227713366086353e-05,8.231228347496492e-09,6.964005976365552e-05,3.735975596791654e-05,3.491737769294699e-05,287,AUDUSD
2010-01-26,0.0001098587372582,1.4946332820859666e-08,0.0001030117715878,5.123278879847719e-05,5.862594845972894e-05,287,AUDUSD
2010-01-27,0.0001189721562909,2.6037355613777058e-08,0.000114953281424,5.871543059668246e-05,6.0256725694308994e-05,287,AUDUSD
2010-01-28,0.0001001455173434,1.2432576186772676e-08,9.183527021951448e-05,4.376954048073719e-05,5.637597686271683e-05,287,AUDUSD
2010-01-29,0.0001053641983994,1.5424074690709894e-08,0.0001081266571824,4.41846379936596e-05,6.117956040582449e-05,263,AUDUSD
2010-01-31,1.1956485599586956e-05,1.3434965244109606e-10,1.066440464791036e-05,1.0121970100369544e-05,1.8345154992174096e-06,23,AUDUSD
2010-02-01,7.853674208611422e-05,1.1311585355519081e-08,6.996980408824322e-05,4.357673288874978e-05,3.496000919736443e-05,287,AUDUSD
2010-02-02,0.0001755303935531,1.0171429293020271e-06,0.0001047736999442,4.012213580697856e-05,0.0001354082577461,287,AUDUSD
2010-02-03,6.759615113812744e-05,4.705826909891286e-09,6.149939073975608e-05,3.0105762923211497e-05,3.749038821491593e-05,287,AUDUSD
2010-02-04,0.0001118378254317,2.6093236825770167e-08,0.0001088483311823,4.35669114228002e-05,6.8270914008938e-05,287,AUDUSD
2010-02-05,0.000182304244499,9.732405935043008e-08,0.0001706803098215,0.0001038309666715,7.847327782748463e-05,263,AUDUSD
2010-02-07,7.655190503575609e-06,1.0487328205826327e-10,6.267603155135948e-06,2.155354967908976e-06,5.4998355356666345e-06,23,AUDUSD
2010-02-08,8.705555453587067e-05,1.3351994129936431e-08,8.312324229196669e-05,3.721905848132621e-05,4.983649605454447e-05,287,AUDUSD
2010-02-09,0.0001076863322484,4.685520456409752e-08,8.195615440454587e-05,6.949402878392523e-05,3.819230346452868e-05,287,AUDUSD
2010-02-10,7.503404468758694e-05,8.717587695426146e-09,7.395148190604915e-05,3.868370002654766e-05,3.635034466103929e-05,286,AUDUSD
2010-02-11,0.0001398063288406,3.1690351847574684e-07,9.05572716467655e-05,0.0001071039511037,3.270237773695268e-05,287,AUDUSD
2010-02-12,0.0001259116284631,1.3218281813188066e-07,0.0001065021018308,4.543785809605175e-05,8.047377036710453e-05,263,AUDUSD
2010-02-14,1.334462426601275e-06,1.5455413924351973e-12,1.1713602816675805e-06,7.62498421124975e-07,5.719640054762999e-07,22,AUDUSD
2010-02-15,3.1251655868393574e-05,1.876702110243598e-09,2.595593478325203e-05,1.746355087609224e-05,1.3788104992301334e-05,282,AUDUSD
2010-02-16,5.449661298612474e-05,4.478086011216365e-09,5.3647498588110295e-05,3.495459655325377e-05,1.9542016432870964e-05,287,AUDUSD
