Date,pair,rv_m1,n_m1,rv_m5,n_m5,rv_m15,n_m15,rv_h1,n_h1
2010-01-03,EURUSD,2.369269377612659e-06,99,3.862238315516785e-06,23,1.838229745303619e-06,7,3.9497416007738673e-07,1.0
2010-01-04,EURUSD,4.0218111296410375e-05,1351,3.9039524845674486e-05,287,4.458236970240099e-05,95,3.7608768207556375e-05,23.0
2010-01-05,EURUSD,3.8457136153509245e-05,1341,3.715488799876666e-05,287,2.9418875899235614e-05,95,2.6680142278203015e-05,23.0
2010-01-06,EURUSD,4.705341089730314e-05,1354,4.832849229357036e-05,287,4.974789645101539e-05,95,3.1008779583622536e-05,23.0
2010-01-07,EURUSD,3.51505668141954e-05,1365,3.2589387841089494e-05,287,2.845146978200663e-05,95,2.0059713334550766e-05,23.0
2010-01-08,EURUSD,6.08456982603061e-05,1231,5.7370144675976915e-05,262,7.305267532133275e-05,88,0.00010309915086985808,22.0
2010-01-10,EURUSD,3.822610562453381e-06,104,5.987495475524091e-06,23,1.0756646474391389e-05,7,1.3476239484582097e-05,1.0
2010-01-11,EURUSD,3.2366453202358774e-05,1371,3.766839230087423e-05,287,3.58555365979519e-05,95,3.2177373465737394e-05,23.0
2010-01-12,EURUSD,3.934564395670429e-05,1357,3.780295523086716e-05,287,4.1117273757274803e-05,95,3.288951771535412e-05,23.0
2010-01-13,EURUSD,3.852120864388894e-05,1367,3.398280208995652e-05,287,2.693626791435468e-05,95,2.8906936015003472e-05,23.0
2010-01-14,EURUSD,3.6954589916608725e-05,1326,2.7315262104825425e-05,287,2.4653556428520606e-05,95,1.7417191427993214e-05,23.0
2010-01-15,EURUSD,4.288385233480507e-05,1272,3.462856849423737e-05,263,2.648422879136673e-05,87,2.117066248576169e-05,21.0
2010-01-17,EURUSD,1.4016889469690167e-06,97,1.7511416514087983e-06,22,3.677704842667311e-06,7,2.348108338775484e-06,1.0
2010-01-18,EURUSD,1.7764117308508977e-05,1230,1.4229619836639452e-05,285,1.0607165865047012e-05,95,6.71356120363569e-06,23.0
2010-01-19,EURUSD,3.5026064999889626e-05,1344,2.885421712422398e-05,286,3.021498057815626e-05,95,3.084679322029655e-05,23.0
2010-01-20,EURUSD,5.3774391947689694e-05,1385,5.353747442568965e-05,287,3.541028430720408e-05,95,4.551449063718769e-05,23.0
2010-01-21,EURUSD,6.423294944574592e-05,1401,6.473896715647977e-05,287,7.185824726775245e-05,95,4.817459126507564e-05,23.0
2010-01-22,EURUSD,4.748528634988226e-05,1304,4.004649525182203e-05,263,3.637586095207735e-05,87,2.4443973594916614e-05,21.0
2010-01-24,EURUSD,2.8385914659624917e-06,95,3.2715020233154984e-06,21,9.333922829669388e-07,7,1.9972128561711073e-08,1.0
2010-01-25,EURUSD,2.7811210251279367e-05,1331,2.60002741161871e-05,286,2.3975139894352264e-05,95,1.6021646799306695e-05,23.0
2010-01-26,EURUSD,4.371736958166536e-05,1390,3.473386118241924e-05,287,2.8909773023190236e-05,95,2.3928596849242936e-05,23.0
2010-01-27,EURUSD,4.4080219382213945e-05,1382,3.6313109615218394e-05,287,3.9341311144319614e-05,95,2.3151161873869827e-05,23.0
2010-01-28,EURUSD,4.823457863564604e-05,1415,3.705586914188279e-05,287,2.339028687815154e-05,95,2.4386684809731386e-05,23.0
2010-01-29,EURUSD,4.375829434998838e-05,1294,3.502072114728196e-05,263,3.10909104918111e-05,87,2.5534656395446518e-05,21.0
2010-01-31,EURUSD,1.5704585586909668e-06,95,1.5544623486980245e-06,23,9.145819809121306e-07,7,7.485307121838598e-07,1.0
2010-02-01,EURUSD,3.1303775790964043e-05,1372,2.6244968094622216e-05,287,2.0612412088264467e-05,95,1.2493403124825209e-05,23.0
2010-02-02,EURUSD,3.1153581358084616e-05,1370,2.3385466476939792e-05,287,2.5284151121686122e-05,95,1.0779449113813587e-05,23.0
2010-02-03,EURUSD,2.6274770406169062e-05,1364,2.093192816078609e-05,287,2.148196802320408e-05,95,3.153922870919556e-05,23.0
2010-02-04,EURUSD,3.7456353980524283e-05,1387,3.49118778882395e-05,287,3.567106414673392e-05,95,1.7883877259181108e-05,23.0
2010-02-05,EURUSD,8.985007428208286e-05,1293,7.839809802534642e-05,263,7.585963492148547e-05,87,9.546695036662175e-05,21.0
2010-02-07,EURUSD,3.269442540237457e-06,113,3.864463486714502e-06,23,4.123581003990104e-06,7,9.070960682923247e-07,1.0
2010-02-08,EURUSD,3.9958257697049076e-05,1395,3.530128767586569e-05,287,3.3360115234058426e-05,95,3.799868995990554e-05,23.0
2010-02-09,EURUSD,7.032686584632112e-05,1405,7.23206110725968e-05,287,8.227183853556909e-05,95,5.051489056692371e-05,23.0
2010-02-10,EURUSD,6.119549182269081e-05,1364,5.182633057722659e-05,287,5.05505911090793e-05,95,3.27222508192282e-05,23.0
2010-02-11,EURUSD,5.408890222090909e-05,1390,5.0310320810807794e-05,287,4.7755884311693526e-05,95,4.8570356881538974e-05,23.0
2010-02-12,EURUSD,6.354654339496857e-05,1280,6.288531790251968e-05,263,6.143749639002715e-05,87,5.047460791269032e-05,21.0
2010-02-14,EURUSD,1.0951642723536493e-06,81,1.0251400120846358e-06,23,1.0629006556601173e-06,7,1.9409398424310498e-07,1.0
2010-02-15,EURUSD,1.9172417203425736e-05,1265,1.6674419989145746e-05,286,1.3058878329234665e-05,95,1.1140050918350331e-05,23.0
2010-02-16,EURUSD,3.368074751821848e-05,1342,3.7526679102836024e-05,287,3.5750296018428616e-05,95,3.7526850200422515e-05,23.0
2010-02-17,EURUSD,3.8939919102380115e-05,1358,3.7782084809995085e-05,287,3.2789127144711935e-05,95,3.26807139717894e-05,23.0
2010-02-18,EURUSD,8.803013609862682e-05,1397,8.115331938322581e-05,287,9.742697023411947e-05,95,0.00012023869737628626,23.0
2010-02-19,EURUSD,5.383128157017379e-05,1292,4.9327545583864176e-05,264,3.4607135458663006e-05,88,2.2499649235264195e-05,22.0
2010-02-21,EURUSD,2.3517421904763135e-06,112,3.035894163362982e-06,23,3.4466027185614965e-06,7,1.380021492109839e-06,1.0
2010-02-22,EURUSD,3.571152528559903e-05,1359,3.407186501518759e-05,287,3.53415604737062e-05,95,1.9605989805384376e-05,23.0
2010-02-23,EURUSD,5.487229324440637e-05,1381,5.104346512728827e-05,287,4.676561799257086e-05,95,5.8701661739217804e-05,23.0
2010-02-24,EURUSD,5.427961103193332e-05,1349,4.256401183236261e-05,286,2.8093066718018595e-05,95,2.9970041657241393e-05,23.0
2010-02-25,EURUSD,6.219210902832644e-05,1395,4.979748222880805e-05,287,4.616737039582912e-05,95,4.962907239557037e-05,23.0
2010-02-26,EURUSD,5.4455072474743464e-05,1297,4.702898781211823e-05,264,4.050620976908061e-05,88,6.27759207589882e-05,22.0
2010-02-28,EURUSD,2.4615144446678117e-06,107,2.3693793085486025e-06,23,3.6135151440437663e-06,7,1.9436194013637e-06,1.0
2010-03-01,EURUSD,6.056716048516813e-05,1357,7.466420611153843e-05,287,7.933656502296121e-05,95,6.724559987638302e-05,23.0
2010-03-02,EURUSD,6.360181353403643e-05,1382,7.079282186099935e-05,287,5.554314829994627e-05,95,5.148595866427546e-05,23.0
2010-03-03,EURUSD,6.249967704068098e-05,1382,4.850733203432109e-05,287,4.5997893183366997e-05,95,3.6367076491183836e-05,23.0
2010-03-04,EURUSD,4.928913344509729e-05,1357,4.4101179974048716e-05,287,4.562964831803544e-05,95,4.420127802312804e-05,23.0
2010-03-05,EURUSD,4.417085159543141e-05,1241,3.122984535809829e-05,263,2.5142975353641295e-05,87,1.3868562763729409e-05,21.0
2010-03-07,EURUSD,1.1674621306429288e-06,101,1.334211697723679e-06,23,2.205611341082047e-06,7,1.9352516927887367e-07,1.0
2010-03-08,EURUSD,3.03518301863229e-05,1316,2.3753971062504432e-05,287,2.8676182101592067e-05,95,2.456817448756758e-05,23.0
2010-03-09,EURUSD,3.528993328301472e-05,1356,2.783634431830644e-05,287,2.3020849784807165e-05,95,1.9888607558637748e-05,23.0
2010-03-10,EURUSD,3.036665395302613e-05,1322,2.4880685413315506e-05,287,3.0999125794958745e-05,95,2.853979671868272e-05,23.0
2010-03-11,EURUSD,3.2782336620878076e-05,1352,3.0718811247255515e-05,287,2.4538829709537195e-05,95,1.610448059138303e-05,23.0
2010-03-12,EURUSD,3.491084549268855e-05,1231,2.893536721375221e-05,263,2.5585835115901562e-05,87,1.630560539423075e-05,21.0
2010-03-14,EURUSD,1.4352353435792903e-06,135,1.4086800018942202e-06,34,1.6885036309093153e-06,11,1.2245451440220944e-06,2.0
2010-03-15,EURUSD,2.3196869545515534e-05,1299,2.1540892976498115e-05,286,1.9542135441784023e-05,95,1.877037077076976e-05,23.0
2010-03-16,EURUSD,4.489123652535509e-05,1334,3.4086790820594555e-05,286,3.1116039627900955e-05,95,3.1885767382006474e-05,23.0
