cham_luc,pair,ngay,h,r_pip,y_thuc
2026-09-04T21:28:21Z,AUDUSD,2026-09-04,1,1.557,1
2026-09-04T21:28:21Z,EURUSD,2026-09-04,1,-10.813,1
2026-09-04T21:28:21Z,GBPUSD,2026-09-04,1,-12.07,1
2026-09-04T21:28:21Z,USDCAD,2026-09-04,1,47.4,2
2026-09-04T21:28:21Z,USDCHF,2026-09-04,1,15.3,1
2026-09-04T21:28:21Z,USDJPY,2026-09-04,1,58.699,2
2026-09-07T22:04:18Z,AUDUSD,2026-09-07,1,16.651,2
2026-09-07T22:04:18Z,EURUSD,2026-09-07,1,6.756,1
2026-09-07T22:04:18Z,GBPUSD,2026-09-07,1,26.362,2
2026-09-07T22:04:18Z,USDCAD,2026-09-07,1,-23.5,0
2026-09-07T22:04:18Z,USDCHF,2026-09-07,1,3.7,1
2026-09-07T22:04:18Z,USDJPY,2026-09-07,1,-190.5,0
2026-09-08T17:19:36Z,AUDUSD,2026-09-08,1,0.0,1
2026-09-08T17:19:36Z,EURUSD,2026-09-08,1,-1.353,1
2026-09-08T17:19:36Z,GBPUSD,2026-09-08,1,-8.987,1
2026-09-08T17:19:36Z,USDCAD,2026-09-08,1,-19.5,0
2026-09-08T17:19:36Z,USDCHF,2026-09-08,1,-0.6,1
2026-09-08T17:19:36Z,USDJPY,2026-09-08,1,43.301,2
2026-09-09T17:13:30Z,AUDUSD,2026-09-09,1,2.087,1
2026-09-09T17:13:30Z,EURUSD,2026-09-09,1,12.187,1
2026-09-09T17:13:30Z,GBPUSD,2026-09-09,1,13.77,1
2026-09-09T17:13:30Z,USDCAD,2026-09-09,1,25.2,2
2026-09-09T17:13:30Z,USDCHF,2026-09-09,1,6.3,1
2026-09-09T17:13:30Z,USDJPY,2026-09-09,1,6.7,1
2026-09-10T17:04:23Z,AUDUSD,2026-09-04,5,-34.6,1
2026-09-10T17:04:23Z,AUDUSD,2026-09-10,1,-54.373,0
2026-09-10T17:04:23Z,EURUSD,2026-09-04,5,-9.464,1
2026-09-10T17:04:23Z,EURUSD,2026-09-10,1,-14.879,1
2026-09-10T17:04:23Z,GBPUSD,2026-09-04,5,-4.575,1
2026-09-10T17:04:23Z,GBPUSD,2026-09-10,1,-24.923,0
2026-09-10T17:04:23Z,USDCAD,2026-09-04,5,29.5,2
2026-09-10T17:04:23Z,USDCAD,2026-09-10,1,14.2,1
2026-09-10T17:04:23Z,USDCHF,2026-09-04,5,48.5,2
2026-09-10T17:04:23Z,USDCHF,2026-09-10,1,24.2,2
2026-09-10T17:04:23Z,USDJPY,2026-09-04,5,-137.5,0
2026-09-10T17:04:23Z,USDJPY,2026-09-10,1,73.0,2
