ghi_luc,pair,ngay,h_har,h_gru,h_catboost,h_tohop,rv_that,qlike_har,qlike_tohop,ma_cau_hinh
2026-09-11T10:53:54Z,AUDUSD,2025-12-31,1.7254573627045266e-05,2.206721396804576e-05,2.003675258803425e-05,2.042550235865365e-05,1.5841681094952233e-05,0.003547633028798458,0.029723151134837256,gr_har_gru_catb_v1
2026-09-11T10:53:54Z,EURUSD,2025-12-31,9.63552430474432e-06,1.0578516113689468e-05,9.064060060153558e-06,1.0321317939077104e-05,8.842426596577439e-06,0.0035856146387891474,0.011364992210538993,gr_har_gru_catb_v1
2026-09-11T10:53:54Z,GBPUSD,2025-12-31,1.4264159763481706e-05,1.638850076327906e-05,1.4654874862908018e-05,1.57960477226322e-05,1.420819379956372e-05,7.717265356310676e-06,0.00541870949097123,gr_har_gru_catb_v1
2026-09-11T10:53:54Z,USDCAD,2025-12-31,7.354371192955419e-06,7.884973082042305e-06,7.474610628439854e-06,7.95342566124413e-06,7.566858339497292e-06,0.00040952269497629423,0.0012208930342847424,gr_har_gru_catb_v1
2026-09-11T10:53:54Z,USDCHF,2025-12-31,1.5877833945907455e-05,1.6676507497881577e-05,1.3946762196480337e-05,1.6398162401044165e-05,1.1610408022767682e-05,0.044255853724108896,0.05329838333838843,gr_har_gru_catb_v1
2026-09-11T10:53:54Z,USDJPY,2025-12-31,1.7680233489715335e-05,1.4339845621083611e-05,1.3447847964183562e-05,1.597662922617261e-05,6.351101959915289e-06,0.38303940866714137,0.320023172190373,gr_har_gru_catb_v1
2026-09-11T10:59:08Z,AUDUSD,2026-09-10,1.4251276897425664e-05,1.1743705792999307e-05,1.3796187152222649e-05,1.3669262809738594e-05,,,,gr_har_gru_catb_v1
2026-09-11T10:59:08Z,EURUSD,2026-09-10,1.6994035847485055e-05,7.1031440045441015e-06,7.445778944480407e-06,1.0515722036362167e-05,,,,gr_har_gru_catb_v1
2026-09-11T10:59:08Z,GBPUSD,2026-09-10,1.067928016525795e-05,8.325751499791406e-06,8.465854284135792e-06,9.62811283585675e-06,,,,gr_har_gru_catb_v1
2026-09-11T10:59:08Z,USDCAD,2026-09-10,1.366493650971478e-05,1.0155488367289974e-05,1.2146894180351576e-05,1.2361530141081102e-05,,,,gr_har_gru_catb_v1
2026-09-11T10:59:08Z,USDCHF,2026-09-10,2.202849427421189e-05,1.6907433193271523e-05,1.641994384565261e-05,1.9356008168940143e-05,,,,gr_har_gru_catb_v1
2026-09-11T10:59:08Z,USDJPY,2026-09-10,3.911475194068002e-05,3.091137779872359e-05,3.435973397983057e-05,3.582440687191107e-05,,,,gr_har_gru_catb_v1
