Date,hour,pair,n_ticks,spread_med,spread_p95
2010-03-01,5,AUDUSD,284,3.005,4.005
2010-03-01,6,AUDUSD,519,3.005,4.005
2010-03-01,7,AUDUSD,810,3.005,4.005
2010-03-01,8,AUDUSD,970,2.995,4.005
2010-03-01,9,AUDUSD,752,3.005,4.005
2010-03-01,10,AUDUSD,869,3.005,4.005
2010-03-01,11,AUDUSD,1443,2.995,4.005
2010-03-01,12,AUDUSD,1398,3.005,4.005
2010-03-01,13,AUDUSD,1292,3.005,4.005
2010-03-01,14,AUDUSD,1278,3.005,4.005
2010-03-01,15,AUDUSD,1883,3.005,4.005
2010-03-01,16,AUDUSD,1564,3.005,4.005
2010-03-01,17,AUDUSD,959,3.005,4.005
2010-03-01,18,AUDUSD,737,3.005,4.005
2010-03-01,19,AUDUSD,433,2.995,4.005
2010-03-01,20,AUDUSD,467,2.995,4.005
2010-03-01,21,AUDUSD,256,2.995,4.005
2010-03-01,22,AUDUSD,189,3.005,4.005
2010-03-01,23,AUDUSD,360,3.005,4.005
2010-03-02,0,AUDUSD,939,3.995,4.995
2010-03-02,1,AUDUSD,537,3.995,4.005
2010-03-02,2,AUDUSD,454,3.005,4.005
2010-03-02,3,AUDUSD,1283,3.995,5.005
2010-03-02,4,AUDUSD,527,3.005,4.005
2010-03-02,5,AUDUSD,510,2.995,4.005
2010-03-02,6,AUDUSD,801,3.005,4.005
2010-03-02,7,AUDUSD,1050,2.995,4.005
2010-03-02,8,AUDUSD,1393,2.995,4.005
2010-03-02,9,AUDUSD,1566,3.005,4.005
2010-03-02,10,AUDUSD,992,3.005,4.005
2010-03-02,11,AUDUSD,1065,2.995,4.005
2010-03-02,12,AUDUSD,1100,2.995,4.005
2010-03-02,13,AUDUSD,1215,2.995,4.005
2010-03-02,14,AUDUSD,1481,2.995,4.005
2010-03-02,15,AUDUSD,1570,2.995,4.005
2010-03-02,16,AUDUSD,1408,2.995,4.005
2010-03-02,17,AUDUSD,742,3.005,4.005
2010-03-02,18,AUDUSD,676,3.005,4.005
2010-03-02,19,AUDUSD,668,3.005,4.005
2010-03-02,20,AUDUSD,472,3.005,4.005
2010-03-02,21,AUDUSD,254,3.005,4.005
2010-03-02,22,AUDUSD,142,3.995,4.005
2010-03-02,23,AUDUSD,333,3.005,4.005
2010-03-03,0,AUDUSD,1012,3.005,4.005
2010-03-03,1,AUDUSD,576,3.005,4.005
2010-03-03,2,AUDUSD,605,3.005,4.005
2010-03-03,3,AUDUSD,352,3.005,4.005
2010-03-03,4,AUDUSD,603,3.005,4.005
2010-03-03,5,AUDUSD,689,3.005,4.005
2010-03-03,6,AUDUSD,520,3.005,4.005
2010-03-03,7,AUDUSD,799,3.005,4.005
2010-03-03,8,AUDUSD,1340,3.005,4.005
2010-03-03,9,AUDUSD,1187,3.005,4.005
2010-03-03,10,AUDUSD,994,3.005,4.005
2010-03-03,11,AUDUSD,879,3.005,4.005
2010-03-03,12,AUDUSD,1114,2.995,4.005
2010-03-03,13,AUDUSD,1317,3.005,4.005
2010-03-03,14,AUDUSD,1318,2.995,4.005
2010-03-03,15,AUDUSD,1703,2.995,4.005
2010-03-03,16,AUDUSD,1615,2.995,4.005
2010-03-03,17,AUDUSD,731,3.005,4.005
2010-03-03,18,AUDUSD,532,3.005,4.005
2010-03-03,19,AUDUSD,601,3.005,4.005
2010-03-03,20,AUDUSD,445,3.005,4.005
2010-03-03,21,AUDUSD,304,2.995,4.005
2010-03-03,22,AUDUSD,201,3.005,4.005
2010-03-03,23,AUDUSD,296,3.005,4.005
2010-03-04,0,AUDUSD,598,3.005,4.005
2010-03-04,1,AUDUSD,525,3.005,4.005
2010-03-04,2,AUDUSD,357,3.005,4.005
2010-03-04,3,AUDUSD,789,3.005,4.005
2010-03-04,4,AUDUSD,541,2.995,3.995
