pair,Date,n_bin,rv_kiem,hhi,top1,top12
AUDUSD,2010-01-04,287,5.7676364265740436e-05,0.01482306367991695,0.05372916691110382,0.3302360478776711
AUDUSD,2010-01-05,287,6.602636741619418e-05,0.01400536226405819,0.046564724448541366,0.3131839537780741
AUDUSD,2010-01-06,287,5.3494473895560515e-05,0.01648606961199336,0.05738514206994336,0.3440495781777804
AUDUSD,2010-01-07,287,8.55461797848266e-05,0.0843118615384561,0.2774669474898613,0.4767079761389146
AUDUSD,2010-01-08,264,8.035358749169114e-05,0.08089077284530594,0.26163984551023706,0.5732850360692425
AUDUSD,2010-01-11,286,4.256145044676024e-05,0.01206652410168554,0.039126742969751487,0.26701216806053385
AUDUSD,2010-01-12,287,9.069885880197263e-05,0.040022252477206116,0.1669655656294087,0.45401305809483467
AUDUSD,2010-01-13,287,6.994265497713972e-05,0.015739557064094935,0.05456406992260724,0.34430962220122185
AUDUSD,2010-01-14,287,8.208994969337699e-05,0.20426510032574074,0.44532713352167547,0.6439472559157403
AUDUSD,2010-01-15,263,4.85357675404421e-05,0.016576696277914783,0.04729882947280568,0.3522130057387076
AUDUSD,2010-01-18,283,3.15537901837467e-05,0.015868036113725417,0.045429633847656754,0.3439802787945116
AUDUSD,2010-01-19,287,6.50795922325497e-05,0.016929626452655226,0.04626358846490426,0.36570512304745945
AUDUSD,2010-01-20,287,8.059941668589959e-05,0.015373949655675193,0.059018717185438406,0.31633857697725093
AUDUSD,2010-01-21,287,0.00011993063261847225,0.01885840882290709,0.07437263151909776,0.3711498485721823
AUDUSD,2010-01-22,263,0.00011755330062065998,0.022474442496965064,0.07616287043581652,0.38144731003995497
AUDUSD,2010-01-25,287,7.227713366086353e-05,0.016470324872061508,0.054720649752167436,0.34602326155696295
AUDUSD,2010-01-26,287,0.00010985873725820615,0.012945081859971782,0.036843071224481556,0.29143017607024124
AUDUSD,2010-01-27,287,0.00011897215629099142,0.019228507089866894,0.06481999340344234,0.3782516766208862
AUDUSD,2010-01-28,287,0.00010014551734345402,0.012957984568309147,0.04468669780336091,0.29815630553675215
AUDUSD,2010-01-29,263,0.00010536419839948411,0.015848147004547994,0.052433085552082453,0.33445004047513005
AUDUSD,2010-02-01,287,7.853674208611422e-05,0.01916977748253655,0.06480820579650894,0.3734651931816097
AUDUSD,2010-02-02,287,0.0001755303935531194,0.34507753677850966,0.5856089329263778,0.6942127943607961
AUDUSD,2010-02-03,287,6.759615113812744e-05,0.010765429723194291,0.03183833942788171,0.2532992979222461
AUDUSD,2010-02-04,287,0.0001118378254317382,0.021806696831135695,0.0937772828972023,0.3844891124499251
AUDUSD,2010-02-05,263,0.00018230424449908167,0.03340351433145569,0.1479937724396832,0.4236201786753175
AUDUSD,2010-02-08,287,8.705555453587067e-05,0.018415881771865015,0.09643030309635507,0.30732565057662475
AUDUSD,2010-02-09,287,0.0001076863322484539,0.04223534301211539,0.1762285372998455,0.4591765764457551
AUDUSD,2010-02-10,286,7.503404468758694e-05,0.016241825167984007,0.06940604107282812,0.3385450121810688
AUDUSD,2010-02-11,287,0.00013980632884065422,0.16947777569814726,0.4021632487492418,0.6173312043600679
AUDUSD,2010-02-12,263,0.00012591162846315628,0.0951062003579789,0.29382860638576347,0.547546894108433
AUDUSD,2010-02-15,282,3.1251655868393574e-05,0.02044190765165828,0.09110768724655327,0.3694928763666398
AUDUSD,2010-02-16,287,5.449661298612474e-05,0.015761326520703865,0.0518957976849048,0.3370262807971049
AUDUSD,2010-02-17,287,4.4688090094252835e-05,0.014661026737540066,0.04654876200453914,0.32439699424044016
AUDUSD,2010-02-18,287,0.00012035579615348738,0.033926208772483354,0.14044325906131583,0.46199584941838673
AUDUSD,2010-02-19,263,8.308627747718489e-05,0.01874469485612603,0.05471124610670545,0.38707121698311203
AUDUSD,2010-02-22,287,4.686677620058197e-05,0.015908718680442045,0.07630657259960807,0.32192259990161853
AUDUSD,2010-02-23,287,9.583841234388714e-05,0.026317268636042692,0.10115048440858765,0.43896944630504064
AUDUSD,2010-02-24,287,8.566460431582442e-05,0.026399859238866293,0.08426106125430385,0.4544366087314466
AUDUSD,2010-02-25,287,8.987506825621768e-05,0.014643135066588176,0.04610062644036991,0.315636467013364
AUDUSD,2010-02-26,264,7.083353510407018e-05,0.029195589594388068,0.1026145424216343,0.4554737037318475
AUDUSD,2010-03-01,287,7.199737451091942e-05,0.021608893652343288,0.09179798710737479,0.38993261454319744
AUDUSD,2010-03-02,287,6.875344729300234e-05,0.013189782499968775,0.03539888955002298,0.300811587925128
AUDUSD,2010-03-03,286,4.71525193141826e-05,0.017104422230978827,0.08430576925441484,0.32012418959979694
AUDUSD,2010-03-04,287,6.083767647370733e-05,0.023647626727828695,0.08106321872842216,0.4012581637242733
AUDUSD,2010-03-05,263,3.646367633579117e-05,0.02960271973048527,0.09705929672422378,0.462887710243184
