ngay,so_tu,so_ky_tu
2016-09-21,537,3550
2016-11-02,531,3527
2016-12-14,497,3335
2017-02-01,461,3118
2017-03-15,462,3156
2017-05-03,482,3289
2017-06-14,495,3355
2017-09-20,499,3330
2017-11-01,476,3212
2017-12-13,427,2867
2018-01-31,382,2533
2018-03-21,411,2719
2018-05-02,385,2542
2018-06-13,285,1900
2018-09-26,252,1685
2018-11-08,265,1767
2018-12-19,289,1926
2019-01-30,287,1927
2019-03-20,303,2025
2019-05-01,279,1868
2019-06-19,293,1979
2019-07-31,338,2249
2019-10-30,287,1938
2019-12-11,272,1855
2020-01-29,273,1866
2020-03-03,86,537
2020-03-15,515,3463
2020-04-29,384,2573
2020-07-29,408,2710
2020-09-16,418,2732
2020-11-05,415,2722
2020-12-16,440,2886
2021-01-27,442,2932
2021-03-17,437,2900
2021-04-28,433,2888
2021-07-28,445,2934
2021-09-22,463,3038
2021-12-15,478,3118
2022-01-26,385,2475
2022-03-16,274,1815
2022-05-04,321,2136
2022-06-15,287,1909
2022-07-27,268,1792
2022-09-21,269,1784
2022-11-02,330,2184
2023-02-01,289,1934
2023-03-22,323,2153
2023-05-03,289,1943
2023-06-14,299,2009
2023-07-26,291,1966
2023-11-01,299,2017
2023-12-13,310,2070
2024-01-31,287,1882
2024-03-20,281,1848
2024-06-12,295,1937
2024-07-31,301,1951
2024-09-18,285,1864
2024-11-07,271,1782
2024-12-18,276,1807
2025-01-29,259,1704
2025-03-19,291,1921
2025-06-18,248,1653
2025-07-30,248,1649
2025-09-17,264,1706
2025-10-29,278,1795
2025-12-10,297,1918
