mo_hinh,doan,n,qlike,mse,mae,crps,phu90,s2
Tổ hợp HAR+GRU+CatBoost (hồi quy GR),kiem_dinh,3282,0.11357067785291226,0.18865211976999516,0.13943919513947817,0.1032192179770003,0.842169408897014,0.18336859906672257
Tổ hợp HAR+GRU+CatBoost (hồi quy GR),kiem_tra,3288,0.15376683601974117,0.06914008394549244,0.10964831782564163,0.07924144572471398,0.7977493917274939,0.18336859906672257
Tổ hợp HAR+GRU (đều tay),kiem_dinh,3282,0.1152261781893573,0.18899399714257176,0.1367406957442556,0.10315661204598965,0.8537477148080439,0.19326377768193523
Tổ hợp HAR+GRU (đều tay),kiem_tra,3288,0.15501424866486052,0.06928531266167669,0.10732204569506915,0.07855719095312566,0.8184306569343066,0.19326377768193523
GRU,kiem_dinh,3282,0.1200459668055727,0.18977391291720624,0.1386589627406046,0.1044991555812966,0.8494820231566118,0.197296140976491
GRU,kiem_tra,3288,0.15633674682846396,0.07046736330671836,0.10877288467262786,0.07924273201610449,0.8211678832116789,0.197296140976491
LSTM,kiem_dinh,3282,0.11405903848571632,0.1881767709746673,0.1398563176358548,0.10375228156693597,0.8537477148080439,0.1965616358178067
LSTM,kiem_tra,3288,0.15724105850662545,0.06991175670070757,0.10845674851846537,0.07920163097576996,0.8108272506082725,0.1965616358178067
CatBoost,kiem_dinh,3282,0.11921483830260304,0.19304441324103006,0.13905013939123323,0.10518067215409176,0.8455210237659964,0.1985532741730212
CatBoost,kiem_tra,3288,0.15744786239889236,0.07028894932264745,0.10611380515996689,0.07902485262710479,0.8223844282238443,0.1985532741730212
HAR vòng 7,kiem_dinh,3282,0.1162136526436316,0.1902358813033964,0.13924910614329022,0.1043921923635501,0.8503960999390615,0.19679166471851425
HAR vòng 7,kiem_tra,3288,0.15850593773849408,0.0707994028619855,0.10854279587943544,0.0795927748573895,0.8175182481751825,0.19679166471851425
Ridge,kiem_dinh,3282,0.11645312724794586,0.19085873186965197,0.13962171680773938,0.10357245928458038,0.8494820231566118,0.19589508078028306
Ridge,kiem_tra,3288,0.1589798757126312,0.07179490758508979,0.10802774030353776,0.07982655432800895,0.8202554744525548,0.19589508078028306
LightGBM (QLIKE),kiem_dinh,3282,0.11635068173203128,0.1944303922409242,0.15379197427721886,0.10851788398348634,0.8391224862888482,0.20447547924181103
LightGBM (QLIKE),kiem_tra,3288,0.15929268304091654,0.07087132419637243,0.11736028928991267,0.08224425578609437,0.7959245742092458,0.20447547924181103
OLS HAR (khớp năm),kiem_dinh,3282,0.11782294174402158,0.19007522150345574,0.1381875876309862,0.10400857163261971,0.8540524070688604,0.20062701928936302
OLS HAR (khớp năm),kiem_tra,3288,0.15932733460517465,0.07127241197652844,0.10810806480098724,0.07969611829246621,0.8181265206812652,0.20062701928936302
XGBoost,kiem_dinh,3282,0.12141250620066572,0.19461172375861213,0.14177471308840064,0.10662551559219875,0.84430225472273,0.200092379507187
XGBoost,kiem_tra,3288,0.1605059494382546,0.07132088409769247,0.10804082362133419,0.07973143952879086,0.816301703163017,0.200092379507187
TabPFN v2,kiem_dinh,3282,0.11634880898471889,0.1923037715372195,0.13604517088358561,0.10322242891108048,0.8534430225472273,0.19517257349910191
TabPFN v2,kiem_tra,3288,0.16125371037824898,0.07177656346442714,0.10592281985139874,0.07920656847726638,0.8211678832116789,0.19517257349910191
Transformer,kiem_dinh,3282,0.12285302229237911,0.1912012053813902,0.13689769476596547,0.10457438347366682,0.8528336380255942,0.20379422320394894
Transformer,kiem_tra,3288,0.16139792066422884,0.07252314140551573,0.10684036981199767,0.07953705892238118,0.8284671532846716,0.20379422320394894
LightGBM (L2),kiem_dinh,3282,0.11870379763280298,0.19343210934863503,0.1403275405553158,0.10576196678247275,0.8491773308957953,0.1999312025122073
LightGBM (L2),kiem_tra,3288,0.16178954890273453,0.06981410353873403,0.10722754044538019,0.07916622948153401,0.818734793187348,0.1999312025122073
Random Forest,kiem_dinh,3282,0.13127597323740883,0.19966188854193004,0.14551592265518673,0.11015824753509333,0.8461304082876295,0.21256745175950764
Random Forest,kiem_tra,3288,0.1739835662346187,0.07278032242180163,0.11079614015082954,0.08142590372043161,0.8172141119221411,0.21256745175950764
Chronos-bolt-small,kiem_dinh,3282,0.13826967729516618,0.2789106788288734,0.15656320397060192,0.12361793344491669,0.7739183424741012,
Chronos-bolt-small,kiem_tra,3288,0.1851340407376813,0.09024955701718902,0.1173370497366157,0.0929115601799118,0.7572992700729927,
TTM,kiem_dinh,3282,0.137712769164496,0.2010735058526248,0.15602087275156779,0.11444819986368576,0.8159658744667886,0.20961645460045802
TTM,kiem_tra,3288,0.18548885460534031,0.08106053969297532,0.11683665704144813,0.0874173243170466,0.7761557177615572,0.20961645460045802
MLP,kiem_dinh,3282,0.14401623219951276,0.21893493822343565,0.16751700978562223,0.11785181625309883,0.858622790981109,0.2768205408769207
MLP,kiem_tra,3288,0.18928441259386497,0.08058714901442612,0.1154932923268171,0.08526054329611736,0.8537104622871047,0.2768205408769207
