W,mau,dich,n,lift,z,p_tho,p_wy,p_wy_xoay,p_wy_k5,q_fdr
2,HIGH → HIGH,HIGH,5080,2.3595521559600523,69.49257734302357,0.0,0.0,0.0,0.0,0.0
3,HIGH → HIGH → HIGH,HIGH,4071,2.477762081138396,67.5908701174289,0.0,0.0,0.0,0.0,0.0
4,HIGH → HIGH → HIGH → HIGH,HIGH,3424,2.566198127139564,65.67025124200389,0.0,0.0,0.0,0.0,0.0
2,LOW → LOW,LOW,4682,2.354547665636249,63.49298758627118,0.0,0.0,0.0,0.0,0.0
3,LOW → LOW → LOW,LOW,3520,2.4818147218158098,60.23787882884991,0.0,0.0,0.0,0.0,0.0
4,LOW → LOW → LOW → LOW,LOW,2791,2.604478852908957,58.0907593156404,0.0,0.0,0.0,0.0,0.0
2,HIGH → HIGH,LOW,5080,0.05546917009449504,-46.11728801083498,0.0,0.0,0.0,0.0,0.0
3,HIGH → HIGH → HIGH,LOW,4071,0.0330612703247244,-42.2721114147629,0.0,0.0,0.0,0.0,0.0
2,LOW → LOW,HIGH,4682,0.14841328742550333,-41.78835458948224,0.0,0.0,0.0,0.0,0.0
4,HIGH → HIGH → HIGH → HIGH,LOW,3424,0.028330836649823367,-38.96533692601463,0.0,0.0,0.0,0.0,0.0
3,LOW → LOW → LOW,HIGH,3520,0.11716889142516872,-37.54757793748349,0.0,0.0,0.0,0.0,0.0
4,LOW → LOW → LOW → LOW,HIGH,2791,0.08871180446847385,-34.49774934807626,0.0,0.0,0.0,0.0,0.0
4,HIGH → HIGH → HIGH → HIGH,MEDIUM,3424,0.3526958485278121,-27.2563779977732,0.0,0.0,0.0,0.0,0.0
3,HIGH → HIGH → HIGH,MEDIUM,4071,0.43500419502759874,-25.935644050408513,0.0,0.0,0.0,0.0,0.0
2,MEDIUM → MEDIUM,MEDIUM,3698,1.5663127735795022,24.77134009087383,0.0,0.0,0.0,0.0,0.0
2,HIGH → HIGH,MEDIUM,5080,0.5305546138866283,-24.067258468246234,0.0,0.0,0.0,0.0,0.0
2,MEDIUM → LOW,HIGH,1849,0.24682376827043945,-23.226071144082198,0.0,0.0,0.0,0.0,0.0
4,LOW → LOW → LOW → LOW,MEDIUM,2791,0.40328147754566845,-22.685184207210778,0.0,0.0,0.0,0.0,0.0
3,MEDIUM → LOW → LOW,LOW,1014,2.0002728225032236,21.8243782620593,0.0,0.0,0.0,0.008,0.0
3,LOW → LOW → LOW,MEDIUM,3520,0.49060304594224186,-21.743474239682357,0.0,0.0,0.0,0.009,0.0
2,MEDIUM → LOW,LOW,1849,1.7187076187803336,21.170761039715256,0.0,0.0,0.0,0.05,0.0
2,MEDIUM → HIGH,LOW,1810,0.27503718888106526,-21.12860296466408,0.0,0.0,0.0,0.05,0.0
2,LOW → LOW,MEDIUM,4682,0.5794135135309182,-20.70049402572259,0.0,0.0,0.0,0.115,0.0
3,MEDIUM → HIGH → HIGH,HIGH,895,1.9354468053963063,20.061508281743585,0.0,0.0,0.0,0.295,0.0
4,LOW → MEDIUM → LOW → LOW,LOW,480,2.294736842105263,19.439955318957786,0.0,0.0,0.0,0.295,0.0
2,LOW → MEDIUM,HIGH,1762,0.3576021001495995,-19.338276012066277,0.0,0.0,0.0,0.295,0.0
3,LOW → MEDIUM → LOW,LOW,759,1.9794824008376217,18.489363410875853,0.0,0.0,0.0,0.295,0.0
3,MEDIUM → HIGH → HIGH,LOW,895,0.11540990617732753,-18.132514058488916,0.0,0.0,0.0,0.295,0.0
4,MEDIUM → LOW → LOW → LOW,LOW,647,2.0313112414308216,17.97773728099035,0.0,0.0,0.0,0.295,0.0
3,MEDIUM → MEDIUM → MEDIUM,MEDIUM,1973,1.5618281266746603,17.954291944814695,0.0,0.0,0.0,0.295,0.0
4,MEDIUM → HIGH → HIGH → HIGH,HIGH,588,2.0302039143983186,17.900574039822192,0.0,0.0,0.0,0.295,0.0
4,HIGH → MEDIUM → HIGH → HIGH,HIGH,424,2.2106664845670583,17.863335196327807,0.0,0.0,0.0,0.295,0.0
3,MEDIUM → LOW → LOW,HIGH,1014,0.22370707475259036,-17.72056534884566,0.0,0.0,0.0,0.295,0.0
2,HIGH → MEDIUM,LOW,1900,0.40866829971841306,-17.657276906150194,0.0,0.0,0.0,0.295,0.0
3,HIGH → HIGH → MEDIUM,LOW,919,0.19754437397912988,-16.667989398542854,0.0,0.001,0.0,0.341,0.0
3,LOW → LOW → MEDIUM,HIGH,925,0.23567685589519652,-16.664060911012115,0.0,0.001,0.0,0.344,0.0
4,LOW → LOW → MEDIUM → LOW,LOW,482,2.1034366376144056,16.602139415671644,0.0,0.002,0.0,0.364,0.0
3,MEDIUM → MEDIUM → LOW,HIGH,842,0.23441730025205115,-15.925061721782816,0.0,0.005,0.0,0.62,0.0
4,MEDIUM → HIGH → HIGH → HIGH,LOW,588,0.04257396738599746,-15.910617400386796,0.0,0.005,0.0,0.624,0.0
4,HIGH → HIGH → MEDIUM → HIGH,HIGH,446,2.0289226031751473,15.570596007183749,0.0,0.026,0.0,0.735,0.0
3,LOW → MEDIUM → LOW,HIGH,759,0.22511952638210467,-15.30342264667433,0.0,0.048,0.0,0.826,0.0
4,HIGH → HIGH → HIGH → MEDIUM,LOW,604,0.09325390538356729,-15.272048711685,0.0,0.053,0.0,0.833,0.0
3,HIGH → MEDIUM → HIGH,LOW,716,0.174863494208072,-15.128182201002499,0.0,0.072,0.0,0.866,0.0
4,LOW → LOW → LOW → MEDIUM,LOW,589,1.8966377202459768,14.913095191704231,0.0,0.105,0.0,0.919,0.0
4,MEDIUM → MEDIUM → MEDIUM → MEDIUM,MEDIUM,1051,1.6370889342694133,14.862582999718983,0.0,0.113,0.0,0.926,0.0
3,HIGH → MEDIUM → HIGH,HIGH,716,1.7445353858163986,14.281532817683528,0.0,0.252,0.0,0.982,0.0
4,LOW → LOW → LOW → MEDIUM,HIGH,589,0.19016485888748888,-14.083460013843428,0.0,0.329,0.0,0.993,0.0
2,HIGH → MEDIUM,MEDIUM,1900,1.444776085262729,13.945301859560042,0.0,0.385,0.0,0.995,0.0
2,MEDIUM → HIGH,HIGH,1810,1.4559171165253184,13.910280088066205,0.0,0.399,0.0,0.995,0.0
4,MEDIUM → LOW → LOW → LOW,HIGH,647,0.23689779947962292,-13.908809078725726,0.0,0.399,0.0,0.995,0.0
3,MEDIUM → MEDIUM → HIGH,LOW,880,0.32011941951045914,-13.81905693831667,0.0,0.399,0.0,0.995,0.0
4,HIGH → MEDIUM → HIGH → HIGH,LOW,424,0.022140471246727453,-13.799156431193648,0.0,0.399,0.0,0.995,0.0
3,HIGH → MEDIUM → MEDIUM,MEDIUM,936,1.606938016485755,13.35929463279501,0.0,0.399,0.0,0.995,0.0
4,LOW → MEDIUM → LOW → LOW,HIGH,480,0.15351850587271237,-13.289027072061865,0.0,0.399,0.0,0.995,0.0
4,HIGH → HIGH → MEDIUM → HIGH,LOW,446,0.0912094749715708,-13.152985986118509,0.0,0.399,0.0,0.995,0.0
3,LOW → LOW → MEDIUM,LOW,925,1.6310132490036797,13.149637417915546,0.0,0.399,0.0,0.995,0.0
2,MEDIUM → MEDIUM,HIGH,3698,0.7014572253105069,-13.019691936136955,0.0,0.399,0.0,0.995,0.0
