experiment_id,phase,model,feature_set,pairs,train_range,valid_range,test_range,eval_segment,horizon,hyperparameters,n,accuracy,macro_f1,log_loss,brier_score,bss,calibration_error,auc_huong,notes
G1_h1_R_khí hậu học,1,khí hậu học,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm định,1,,3282.0,0.3510054844606947,0.2716107067997652,1.097849150479064,0.6661562077256113,0.0,0.0042401281776919,0.5,"mục tiêu R; KTC BSS [0.0, 0.0]"
G1_h1_R_quán tính,1,quán tính,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm định,1,,3282.0,0.3394271785496648,0.337688674651207,1.0988866884111648,0.6668408939523149,-0.0010278163271062,0.0049900003354779,0.499460553600681,"mục tiêu R; KTC BSS [-0.002789435788716976, 0.0004315463913595896]"
G1_h1_R_chỉ σ̂,1,chỉ σ̂,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm định,1,,3282.0,0.3190127970749543,0.2478979420038995,1.098902496389316,0.6668602073213548,-0.0010568085796978,0.007146262013624,0.5,"mục tiêu R; KTC BSS [-0.001986322098724941, -0.0003830704111165875]"
G1_h1_R_σ̂ + chế độ,1,σ̂ + chế độ,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm định,1,,3282.0,0.3357708714198659,0.3288536460985321,1.0992426640816042,0.6670988027264944,-0.0014149759319983,0.0027027950887674,0.4916880713059057,"mục tiêu R; KTC BSS [-0.0026317014036070395, 4.408944466090435e-05]"
G1_h1_R_chỉ σ̂ (cuộn),1,chỉ σ̂ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm định,1,,3282.0,0.319926873857404,0.2573072082533052,1.0988782429821835,0.6668438354986826,-0.0010322320277085,0.0067659143353506,0.5,"mục tiêu R; KTC BSS [-0.001966744024396239, -0.00030747090446699436]"
G1_h1_R_σ̂ + chế độ (cuộn),1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm định,1,,3282.0,0.3379037172455819,0.3303971130922714,1.099282584578728,0.6671200682659733,-0.001446898684098,0.0044163606691528,0.4654284144730005,"mục tiêu R; KTC BSS [-0.0026541687010526505, -8.072428299994491e-05]"
G1_h1_R_tổ hợp trực tuyến,1,tổ hợp trực tuyến,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm định,1,,3282.0,0.3427787934186471,0.3341588029317259,1.0988022079051645,0.6667804080627128,-0.0009370179694527,0.0043054248095507,0.4760589728742595,"mục tiêu R; KTC BSS [-0.0022480962120920156, 0.0002335950036999847]"
G1_h1_P_khí hậu học,1,khí hậu học,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm định,1,,3282.0,0.3619744058500914,0.2777060931899641,1.0979941430344975,0.6662508699550962,0.0,0.0160215622625995,0.5,"mục tiêu P; KTC BSS [0.0, 0.0]"
G1_h1_P_quán tính,1,quán tính,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm định,1,,3282.0,0.327848872638635,0.3186387077576966,1.0990508959139518,0.6669375802023644,-0.0010307082185341,0.0157969664531288,0.4911730605845823,"mục tiêu P; KTC BSS [-0.002602075545026028, 0.0007937860872746774]"
G1_h1_P_chỉ σ̂,1,chỉ σ̂,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm định,1,,3282.0,0.3689823278488726,0.2974236710835328,1.086714682628476,0.6592345055893329,0.01053111475297,0.0156449699868546,0.5,"mục tiêu P; KTC BSS [0.003909429746247345, 0.01686866613509395]"
G1_h1_P_σ̂ + chế độ,1,σ̂ + chế độ,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm định,1,,3282.0,0.3717245581962218,0.359446258925679,1.0874609305553378,0.6596968612548788,0.0098371484312794,0.0134663598127106,0.4832567440070221,"mục tiêu P; KTC BSS [0.0028287558212823447, 0.016636291757474532]"
G1_h1_P_chỉ σ̂ (cuộn),1,chỉ σ̂ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm định,1,,3282.0,0.368677635588056,0.2970454240784857,1.0866559726753242,0.6591841526481207,0.0106066913015089,0.0141056079376869,0.5,"mục tiêu P; KTC BSS [0.00397048050541567, 0.016955672240784]"
G1_h1_P_σ̂ + chế độ (cuộn),1,σ̂ + chế độ (cuộn),σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm định,1,,3282.0,0.3741620962827544,0.3534393168921865,1.08708042897744,0.6594089780532354,0.0102692427288266,0.0119813038357873,0.4686210635511474,"mục tiêu P; KTC BSS [0.0035086425173686707, 0.017007648052371052]"
G1_h1_P_tổ hợp trực tuyến,1,tổ hợp trực tuyến,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm định,1,,3282.0,0.3750761730652041,0.3517908191116288,1.0866321260657177,0.659150811431808,0.0106567343375727,0.0132228525523645,0.4631596734900793,"mục tiêu P; KTC BSS [0.003974198040257249, 0.016992362179545303]"
G1_h5_R_khí hậu học,1,khí hậu học,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm định,5,,3282.0,0.3668494820231566,0.3487679179421597,1.0956574104144716,0.6646862900396203,0.0,0.0032972011891641,0.5,"mục tiêu R; KTC BSS [0.0, 0.0]"
G1_h5_R_quán tính,1,quán tính,σ̂ (HAR vòng 7),EURUSD GBPUSD USDJPY AUDUSD USDCAD USDCHF,2012-02-14..2021-10-13,2021-10-13..2023-11-20,2023-11-20..2026-09,kiểm định,5,,3282.0,0.3372943327239488,0.328805139202155,1.099659646366973,0.6673055467729068,-0.0039405908810459,0.013028264376367,0.4941308519681752,"mục tiêu R; KTC BSS [-0.006389819533863211, -0.002090265791224455]"
